"our_journal_name","paper_count"
"In R.W. Jabado","200"
"In Programm and Abstracts of Shark International","174"
"In Libro de resúmenes IV Encuentro colombiano sobre condrictios(","86"
"In Progrtamm and Abstracts","85"
"In Fowler","62"
"In Proceedings of the European Elasmobranch Association annual scientific conference","56"
"In Programme Booklet of The","56"
"In Programm and Poster Abstracts of Shark International","55"
"In J.A. Ebersole (ed.)","50"
"In Program and Abstracts for the","49"
"In Résumés des communications/Book of abstracts Colloque international sur la conservation et la gestion durable des populations de Requins en Afrique de l'Ouest: Bilan et Perspectives","48"
"In A.P. Klimley & D. Ainley","45"
"In SMITH","45"
"In Libro de resúmenes","45"
"In","43"
"In Uyeno","42"
"In P.W. Gilbert","39"
"In M. Smith","39"
"In M.D. Camhi","38"
"In J.C. Carrier","37"
"In Pratt","34"
"In Last","33"
"In M.L. Domeier (Ed.)","32"
"In The Fishes of New Zealand","31"
"In N. Başusta","26"
"In Schwarz","19"
"In Carrier","17"
"In W.C. Hamlett (Ed.)","16"
"In Book of Abstracts.","16"
"In E.S. Hodgson & Mathewson","16"
"In S.L. Smith","16"
"In K. Yano","16"
"In Seret","16"
"In Book of Abstracts","15"
"In Sharks: Conservation","15"
"In Investigation of the ichthyofauna of Nicaraguan lakes","15"
"In Proceedings of the First Pacific Shark Workshop","13"
"In T.J. Shuttleworth (Ed.)","10"
"In Shimizu","10"
"In ARRATIA","10"
"In Relini G.","9"
"In Smith's Sea Fishes","9"
"In Elasmobranch Biodiversity","9"
"In Conservation Biology of Elasmobranchs. Ed. by S. Branstetter. NOAA Technical Report NMFS","9"
"In Dineley","8"
"In Evolution of Dental Tissues and Paleobiology in Selachians","8"
"In G. Arratia & A. Tintori (Eds.)","7"
"In Whitehead","7"
"In Beiträge zur Paläontologie","6"
"In G. Arratia","6"
"In Proceedings of the International Workshop on Age Determination of Oceanic Pelagic Fishes: Tunas","6"
"In G. Arratia & G. Viohl (Eds.)","6"
"In Martin","5"
"In FISCHER","5"
"In Abstracts","4"
"In W.C. Hamlett (ed). Shark","4"
"In ELLIOTT","4"
"In SymBioSE","4"
"In Lucas","4"
"In QUERO","3"
"In Gallucci","3"
"In W. Fischer","3"
"In Primer Simposio Paleontología en Chile","3"
"In Fernández López","3"
"In Lévêque Christian(ed.)","3"
"In S.H. Gruber","3"
"In Programme and Abstracts","3"
"In Rays of the World: Supplementary information(Last","3"
"In M.L.J. Stiassny","3"
