"our_journal_name","paper_count"
"FAO Fisheries Technical Paper","33"
"Fossilien","19"
"Mote Marine Laboratory Technical Report(","6"
"NOAA Technical Memorandum NMFS–NE–","5"
"NOAA Technical Report NMFS","5"
"Canadian Technical Report of Fisheries and Aquatic Sciences","4"
"NOAA Technical Memorandum","3"
"Mote Marine Laboratory Technical Report","3"
"New Zealand Marine Department Fisheries Technical Report","3"
"NOAA Technical Memorandum NMFS–SEFSC–","2"
"FAO Fisheries Synopsis No.","2"
"NOAA Technical Report","2"
"Final Report to AFMA project RO","1"
"FAO Fisheries and Aquaculture Report No.","1"
"NIWA Technical Report","1"
"FAO Fisheries and Aquaculture Circular","1"
"FAO Fisheries and Aquaculture Technical Paper","1"
"Australian Fisheries Management Authority (AFMA)","1"
"SRC Technical Report SRC","1"
"Technical Report of the US Navy Oceanographic Office","1"
"Technical Report","1"
"SPC Fisheries Newsletter #","1"
"AFMA Report R","1"
"Fossilien–Magazin","1"
"FAO FishFinder Programme. Rome","1"
"In: Der Posidonien- Schiefer des unteren Juras und seine Fossilien. Urlichs","1"
"FAO Fisheries Report","1"
"Technical report of survey conducted August","1"
"Fisheries and Marine Service Research Division Technical Report","1"
