"our_journal_name","scimago_title","sjr_score","quartile","h_index","subject_areas","open_access","match_type","match_score","paper_count"
"Journal of Fish Biology","Journal of Fish Biology","0.641","Q2","133","Agricultural and Biological Sciences","No","exact","1.0","867"
"Environmental Biology of Fishes","Environmental Biology of Fishes","0.508","Q2","101","Agricultural and Biological Sciences","No","exact","1.0","464"
"Marine and Freshwater Research","Marine and Freshwater Research","0.515","Q2","104","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","No","exact","1.0","349"
"Fisheries Research","Fisheries Research","0.834","Q1","116","Agricultural and Biological Sciences","No","exact","1.0","344"
"PLoS ONE","PLoS ONE","0.803","Q1","467","Multidisciplinary","Yes","exact","1.0","335"
"Marine Ecology Progress Series","Marine Ecology Progress Series","0.804","Q1","223","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","330"
"Copeia","Ichthyology and Herpetology","0.587","Q1","78","Agricultural and Biological Sciences","No","alias","1.0","280"
"Zootaxa","Zootaxa","0.48","Q2","110","Agricultural and Biological Sciences","No","exact","1.0","267"
"Journal of Vertebrate Paleontology","Journal of Vertebrate Paleontology","0.651","Q1","94","Earth and Planetary Sciences","No","exact","1.0","264"
"Marine Biology","Marine Biology","0.677","Q1","138","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","258"
"Frontiers in Marine Science","Frontiers in Marine Science","0.931","Q1","118","Agricultural and Biological Sciences; Earth and Planetary Sciences; Engineering; Environmental Science","Yes","exact","1.0","250"
"Journal of the Marine Biological Association of the United Kingdom","Journal of the Marine Biological Association of the United Kingdom","0.355","Q3","81","Agricultural and Biological Sciences","No","exact","1.0","246"
"Journal of Experimental Biology","Journal of Experimental Biology","0.931","Q1","221","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","221"
"Journal of Parasitology","Journal of Parasitology","0.397","Q3","105","Agricultural and Biological Sciences; Immunology and Microbiology; Medicine","No","exact","1.0","217"
"Comparative Biochemistry and Physiology – Part A","Comparative Biochemistry and Physiology -Part A : Molecular and Integrative Physiology","0.618","Q1","132","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","alias","1.0","210"
"Fishery Bulletin","Fishery Bulletin","0.302","Q3","76","Agricultural and Biological Sciences","Yes","exact","1.0","197"
"General and Comparative Endocrinology","General and Comparative Endocrinology","0.569","Q1","138","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","182"
"Scientific Reports","Scientific Reports","0.874","Q1","347","Multidisciplinary","Yes","exact","1.0","181"
"Systematic Parasitology","Systematic Parasitology","0.364","Q3","56","Immunology and Microbiology","No","exact","1.0","179"
"Marine Pollution Bulletin","Marine Pollution Bulletin","1.402","Q1","245","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","No","exact","1.0","176"
"Aquatic Conservation","Aquatic Conservation: Marine and Freshwater Ecosystems","0.759","Q1","94","Agricultural and Biological Sciences; Environmental Science","No","substring","0.95","174"
"Journal of Morphology","Journal of Morphology","0.5","Q2","87","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","168"
"Cybium","Cybium","0.298","Q3","36","Agricultural and Biological Sciences","No","exact","1.0","160"
"Journal of Experimental Zoology","Journal of Experimental Biology","0.931","Q1","221","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine","No","fuzzy","0.9355","153"
"Journal of Applied Ichthyology","Journal of Applied Ichthyology","0.263","Q3","74","Agricultural and Biological Sciences","No","exact","1.0","153"
"ICES Journal of Marine Science","ICES Journal of Marine Science","1.058","Q1","145","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","Yes","exact","1.0","146"
"Neues Jahrbuch für Geologie und Paläontologie","Neues Jahrbuch fur Geologie und Palaontologie - Abhandlungen","0.425","Q3","46","Earth and Planetary Sciences","No","alias","1.0","141"
"Comparative Biochemistry and Physiology – Part B","Comparative Biochemistry and Physiology Part - B: Biochemistry and Molecular Biology","0.52","Q2","117","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","alias","1.0","138"
"Journal of Ichthyology","Journal of Ichthyology","0.325","Q2","23","Agricultural and Biological Sciences","No","exact","1.0","132"
"Marine Policy","Marine Policy","1.169","Q1","133","Agricultural and Biological Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences","No","exact","1.0","125"
"Cell and Tissue Research","Cell and Tissue Research","1.179","Q1","164","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","120"
"Annales","Annales","0.116","Q3","25","Arts and Humanities; Social Sciences","No","exact","1.0","114"
"Marine Biodiversity Records","Marine Biodiversity","0.472","Q2","44","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","alias","1.0","114"
"Endangered Species Research","Endangered Species Research","0.808","Q1","75","Environmental Science","Yes","exact","1.0","110"
"Revista de Biología Marina y Oceanografía","Revista de Biologia Marina y Oceanografia","0.157","Q4","33","Agricultural and Biological Sciences; Earth and Planetary Sciences","Yes","fuzzy","0.9512","98"
"African Journal of Marine Science","African Journal of Marine Science","0.539","Q2","59","Agricultural and Biological Sciences","No","exact","1.0","95"
"Journal of Experimental Marine Biology and Ecology","Journal of Experimental Marine Biology and Ecology","0.602","Q2","148","Agricultural and Biological Sciences","No","exact","1.0","95"
"Mitochondrial DNA","Mitochondrial DNA Part A: DNA Mapping, Sequencing, and Analysis","0.268","Q4","24","Biochemistry, Genetics and Molecular Biology","No","alias","1.0","91"
"Ecology and Evolution","Ecology and Evolution","0.858","Q1","109","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","90"
"Journal of Paleontology","Journal of Paleontology","0.647","Q2","74","Earth and Planetary Sciences","No","exact","1.0","88"
"Canadian Journal of Fisheries and Aquatic Sciences","Canadian Journal of Fisheries and Aquatic Sciences","0.803","Q1","173","Agricultural and Biological Sciences","No","exact","1.0","87"
"Regional Studies in Marine Science","Regional Studies in Marine Science","0.6","Q1","43","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","86"
"Integrative and Comparative Biology:","Integrative and Comparative Biology","0.713","Q1","144","Agricultural and Biological Sciences; Medicine","No","exact","1.0","83"
"Japanese Journal of Ichthyology","Japanese Journal of Ecology","0.104","Q4","15","Agricultural and Biological Sciences; Environmental Science","Yes","fuzzy","0.8966","83"
"Reviews in Fish Biology and Fisheries","Reviews in Fish Biology and Fisheries","1.753","Q1","119","Agricultural and Biological Sciences","No","exact","1.0","82"
"Folia Parasitologica","Folia Parasitologica","0.459","Q2","51","Immunology and Microbiology","Yes","exact","1.0","80"
"Bulletin of Marine Science","Bulletin of Marine Science","0.345","Q3","89","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","exact","1.0","79"
"Cretaceous Research","Cretaceous Research","0.741","Q1","85","Earth and Planetary Sciences","No","exact","1.0","79"
"Nature","Nature","18.288","Q1","1442","Multidisciplinary","No","exact","1.0","79"
"Biological Conservation","Biological Conservation","1.654","Q1","244","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","77"
"PeerJ","PeerJ","0.625","Q1","124","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience","Yes","exact","1.0","74"
"California Fish and Game","California Fish and Game","0.307","Q3","22","Agricultural and Biological Sciences","Yes","exact","1.0","74"
"Marine Biodiversity","Marine Biodiversity","0.472","Q2","44","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","exact","1.0","71"
"Science","Science","10.416","Q1","1382","Arts and Humanities; Multidisciplinary","No","exact","1.0","71"
"Historical Biology","Historical Biology","0.563","Q1","43","Agricultural and Biological Sciences","No","exact","1.0","70"
"Latin American Journal of Aquatic Research","Latin American Journal of Aquatic Research","0.253","Q3","38","Agricultural and Biological Sciences; Earth and Planetary Sciences","Yes","exact","1.0","69"
"Palaeontology","Palaeontology","0.862","Q1","78","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","exact","1.0","68"
"Fishes","Fishes","0.523","Q2","29","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","68"
"Journal of Comparative Neurology","Journal of Comparative Neurology","1.084","Q2","232","Neuroscience","No","exact","1.0","67"
"Indian Journal of Fisheries","Indian Journal of Fisheries","0.188","Q4","22","Agricultural and Biological Sciences","No","exact","1.0","66"
"Journal of Northwest Atlantic Fishery Science","Journal of Northwest Atlantic Fishery Science","0.215","Q4","45","Earth and Planetary Sciences; Environmental Science","No","exact","1.0","66"
"Journal of Fish Diseases","Journal of Fish Diseases","0.614","Q1","101","Agricultural and Biological Sciences; Veterinary","No","exact","1.0","65"
"Biological Bulletin","Biological Bulletin","0.74","Q1","86","Agricultural and Biological Sciences","No","exact","1.0","65"
"Ocean & Coastal Management","Ocean and Coastal Management","1.245","Q1","116","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","No","exact","1.0","65"
"Ichthyological Research","Ichthyological Research","0.389","Q3","42","Agricultural and Biological Sciences","No","exact","1.0","64"
"Mediterranean Marine Science","Mediterranean Marine Science","0.593","Q2","52","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","Yes","exact","1.0","64"
"The Anatomical Record","Anatomical Record","0.553","Q2","103","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","63"
