"our_journal_name","paper_count"
"Thesis","48"
"PhD Thesis","16"
"PhD thesis","8"
"Ph.D. Thesis","8"
"Unpublished PhD dissertation","6"
"Ph.D. thesis","6"
"M.A. Thesis","6"
"MS thesis","5"
"unpublished thesis","4"
"Master Thesis","4"
"Master thesis","4"
"MS Thesis","4"
"M.S. Thesis","4"
"Unpublished PhD thesis","4"
"M.S. thesis","4"
"Phd Thesis","3"
"Master's thesis","3"
"unpubl. Thesis","3"
"Unpubl. Ph.D. thesis","3"
"PhD dissertation","3"
"MSc Thesis","3"
"Ph.D. dissertation","3"
"Honours Thesis","3"
"M.Sc. Thesis","3"
"Unpublished thesis","3"
"Ph.D. Dissertation","3"
"PhD. Dissertation","2"
"Unpublished MS thesis","2"
"Unpublished doctoral thesis","2"
"unpublished Thesis","2"
"Ph.D. Dissertation. University of California","2"
"Dissertation","2"
"Unpublished Honours thesis(BSc). Department of Zoology. Melbourne","2"
"Ph.D. dissertation. Universidad de Las Palmas de Gran Canaria","2"
"Thesis(B. Sc.)","2"
"Unpublished M.Sc.Thesis","1"
"PhD thesis. University of Georgia","1"
"M.S. thesis: Albuquerque","1"
"Unpublished PhD Thesis Dissertation","1"
"M.S. Thesis. Universidad de Simon Bolivar","1"
"PhD thesis. McGill University","1"
"Bachelor Thesis","1"
"Abstract of Ph.D. thesis. Saratov: Saratov State University","1"
"Unpublished Masters thesis","1"
"Ph.D. dissertation: University of New Mexico","1"
"M.S. thesis: Flagstaff","1"
"M.A. thesis: University of California.","1"
"Thesis doctoral","1"
"Unpublished MSc dissertation","1"
"M.S. thesis: University of California","1"
"Diplom Thesis","1"
"Ph. D. Thesis. University of Valencia","1"
"Ph.D thesis","1"
"Cornell University dissertation","1"
"M.S. Thesis. University of Wales","1"
"Bachelors Thesis","1"
"PhD Dissertation presented to the College of William and Mary","1"
"M.S. Thesis. University of North Carolina–Wilmington","1"
"Mphil Thesis: Murdoch University","1"
"M.S. Thesis. University of Amsterdam","1"
"Dissertation abstract int.(","1"
"M.S. thesis. University of Surrey – Roehampton","1"
"M.S. Thesis. University of Plymouth","1"
"Unpublished MS dissertation. Universidade do Amazonas","1"
"Master Thesis: Gainesville: University of Florida.","1"
"PhD thesis. Cardiff University","1"
"M.A. thesis","1"
"PhD Thesis: Murdoch University","1"
"LLM Thesis: Dalhousie University","1"
"BSc thesis. Universidad de los Andes","1"
"MS Thesis California State University","1"
"Doctoral Dissertation. Université de Montpellier","1"
"Unpubl. M.S. thesis: University of Arizona","1"
"Dissertation abstract int","1"
"unpublished MSc thesis","1"
"MS. Thesis","1"
"PhD.Thesis. UNIVERSITY OF RHODE ISLAND","1"
"Bachelor thesis","1"
"Honours thesis","1"
"M.S. thesis: Northern Arizona University","1"
"Ph.D. dissertation. University of Georgia","1"
"Masters Thesis. Florida Institute of Technology","1"
"Masters Thesis","1"
"MSc Thesis. University of Basel. Switzerland.","1"
"Graduate Thesis(Unpublished)","1"
"M.S. thesis. University of Miami","1"
"Ph.D. Dissertation. The College of William and Mary","1"
"Dissertation Abstracts B","1"
"Unpublished Thesis","1"
"Unpublished Dissertation","1"
"Thesis de Licenciatura.","1"
"MSc thesis","1"
"PhD thesis. University of Plymouth","1"
"MSc Thesis. University of Groningen","1"
"MSc. thesis in Earth Sciences","1"
"Thesis(Ph.D.)––School of Earth and Environmental Sciences","1"
"Ph. D. dissertation. Universidad Autonoma de Nuevo Leon.","1"
"Master's Thesis. Moss Landing Marine Laboratories / San Jose State University.","1"
"Ph.D Dissertation","1"
"Unpublished Ph.D. thesis","1"
"Thesis for: Doctorat d'Etat","1"
"MSc. thesis","1"
"MA Thesis","1"
"MSc Thesis. Flinders University. Australia.","1"
"PhD.Thesis. University of British Columbia.","1"
"Ph.D. thesis London University","1"
"California State University thesis","1"
"Unpubl. Ph.D. dissertation:University of Colorado","1"
"Postgraduate Thesis","1"
"Phd thesis","1"
"Master’s thesis","1"
"BSc(Honours) Thesis","1"
"M.S. Thesis. Murdoch University","1"
"Unpublished PHd thesis","1"
"BSc. Thesis. Cardiff University","1"
"PhD Thesis. Galway-Mayo Institute of Technology","1"
