"our_journal_name","paper_count","best_scimago_match","best_match_score","best_match_quartile"
"IUCN","1084","Icon","0.75","Q3"
"American Elasmobranch Society","663","American Behavioral Scientist","0.6897","Q1"
"Report of Japanese Society for Elasmobranch Studies","168","Journal of Japanese Dental Society of Anesthesiology","0.5825","Q4"
"World Congress of Herpetology","143","World Journal of Hepatology","0.75","Q2"
"Marine Fisheries Information Service","128","Marine Fisheries Review","0.7458","Q4"
"Biologia Marina Mediterranea","79","Archaeologia Maritima Mediterranea","0.8065","Q4"
"CSIRO Marine and Atmospheric Research Paper","63","Ocean-Land-Atmosphere Research","0.6575","Q1"
"New Mexico Museum of Natural History and Science","57","Bulletin of the American Museum of Natural History","0.6735","Q1"
"Transactions of the Kansas Academy of Science","56","Annals of the New York Academy of Sciences","0.7356","Q1"
"Het Zeepaard","46","Health Affairs","0.5385","Q1"
"Arquivos de Ciências do Mar","42","Archivos de Neurociencias","0.6923","Q4"
"ICES CM Documents","35","Studia et Documenta","0.6111","Q4"
"Journal of the Fisheries Research Board of Canada","34","Journal of the Operations Research Society of China","0.74","Q2"
"Bulletin de l'Institut Royal des Sciences Naturelles de Belgique","31","Bulletin de la Societe Royale des Sciences de Liege","0.7193","Q3"
"Florida Scientist","30","Florida Entomologist","0.7568","Q3"
"Palaeontographica","30","Cartographica","0.7333","Q2"
"Rivista di Parassitologia","30","Rivista di Archeologia","0.8085","Q4"
"Ichthyolith Issues","29","Oncology Issues","0.6061","Q4"
"Physiological and Biochemical Zoology","27","Physiological Entomology","0.7213","Q2"
"Arbeitskreis Paläontologie Hannover","27","Acta Palaeontologica Romaniae","0.5938","Q2"
"Afzettingen WTKG","26","Mitteilungen Klosterneuburg","0.549","Q4"
"Shark News","26","TR News","0.7059","Q4"
"Bulletin of the Japanese Society of Scientific Fisheries","24","Bulletin of Chinese Academy of Sciences","0.6947","Q1"
"De Strandvlo","23","Standort","0.6","Q3"
"Comptes Rendus des séances de la Société de Biologie et de ses Filiales","22","Annales de la Societe Entomologique de France","0.5345","Q2"
"Brazilian Journal of Oceanography","22","Journal of Oceanography","0.8214","Q1"
"Journal of the Elisha Mitchell Scientific Society","22","Journal of the American Mathematical Society","0.7312","Q1"
"Palaeovertebrata","21","African Invertebrates","0.5946","Q2"
"Belgian Geological Survey","21","Obstetrical and Gynecological Survey","0.7541","Q2"
"Anatomy and Embryology","21","Anatomy and Cell Biology","0.8261","Q2"
"Irish Naturalists Journal","21","British Actuarial Journal","0.76","Q3"
"Bulletin du Muséum National d'Histoire Naturelle","21","Travaux du Museum National d'Histoire Naturelle Grigore Antipa","0.7407","Q3"
"Bulletin of the Southern California Academy of Sciences","21","Bulletin of the Georgian National Academy of Sciences","0.7778","Q3"
"Aqua","20","Ausa","0.75","Q4"
"Investigational Report Oceanographic Research Institute","20","Deep-Sea Research Part I: Oceanographic Research Papers","0.6239","Q1"
"Bulletin of Zoological Nomenclature","20","Bulletin of Entomological Research","0.6957","Q2"
"Archiv für Fischereiwissenschaft","20","Archiv fur Musikwissenschaft","0.8","Q4"
"Vertebrata Palasiatica","19","Invertebrate Systematics","0.6522","Q1"
"PeerJ PrePrints","19","J-Reading","0.6667","Q3"
"Cossmanniana","18","Conradiana","0.6364","Q3"
"Der Geschiebesammler","18","Open Geosciences","0.5556","Q2"
"Der Steinkern","18","Der Nervenarzt","0.5926","Q3"
"Archives de l'Institut Pasteur de Tunis","18","Annales de l'Institut Fourier","0.6061","Q1"
"Book of Abstracts","18","Handbook of Statistics","0.6667","Q4"
"CMFRI Newsletter","17","CFD Letters","0.6667","Q3"
"Journal of the North Carolina Academy of Science","17","Journal of the Indian Academy of Wood Science","0.7957","Q3"
"Bulletin de l'Institut Français d'Afrique Noire(A)","17","Bulletin de la Societe Prehistorique Francaise","0.6154","Q3"
