Subclass,Superorder,Order,Family,Sharkipedia Scientific name,Species authorship
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus albisoma,Nakaya & Séret 1999
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus ampliceps,"Sasahara, Sato & Nakaya 2008 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus aphyodes,Nakaya & Stehmann 1998 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus australis,"Sato, Nakaya & Yorozu 2008 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus breviventralis,"Kawauchi, Weigmann & Nakaya, 2014 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus brunneus,Gilbert 1892 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus bucephalus,"White, Last & Pogonoski 2008 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus canutus,Springer & Heemstra 1979 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus exsanguis,"Sato, Nakaya & Stewart 1999 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus fedorovi,Dolganov 1983 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus garricki,"Sato, Steward & Nakaya 2013 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus gibbosus,"Meng, Chu & Li 1985 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus herklotsi,Fowler 1934 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus indicus,Brauer 1906 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus internatus,"Deng, Xiong & Zhan 1988 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus investigatoris,Misra 1962 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus japonicus,Nakaya 1975 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus kampae,Taylor 1972 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus laurussonii,Saemundsson 1922 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus longicephalus,Nakaya 1975 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus macrorhynchus,Tanaka 1909 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus macrostomus,"Chu, Meng & Li 1985 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus manis,Springer 1979 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus melanoasper,"Iglésias, Nakaya & Stehmann 2004 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus microps,Gilchrist 1922 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus micropterygeus,"Meng, Chu & Li 1986 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus nakayai,Iglésias 2013 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus nasutus,de Buen 1959 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus parvipinnis,Springer & Heemstra 1979 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus pinguis,"Deng, Xiong & Zhan 1983 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus platyrhynchus,Tanaka 1909 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus profundorum,Goode & Bean 1896 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus riveri,Bigelow & Schroeder 1944 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus saldanha,Barnard 1925 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus sibogae,Weber 1913 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus sinensis,Chu & Hu 1981 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus spongiceps,Gilbert 1905 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Apristurus stenseni,Springer 1979 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Asymbolus analis,Ogilby 1885 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Asymbolus funebris,"Compagno, Stevens & Last 1999 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Asymbolus galacticus,Séret & Last 2008 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Asymbolus occiduus,"Last, Gomon & Gledhill 1999 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Asymbolus pallidus,"Last, Gomon & Gledhill 1999 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Asymbolus parvus,"Compagno, Stevens & Last 1999 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Asymbolus rubiginosus,"Last, Gomon & Gledhill 1999 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Asymbolus submaculatus,"Compagno, Stevens & Last 1999 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Asymbolus vincenti,Zietz 1908 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Atelomycterus baliensis,"White, Last & Dharmadi 2005 "
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Atelomycterus erdmanni,Fahmi & White 2015 
Elasmobranchii,Galeomorphii,Carcharhiniformes,Scyliorhinidae,Atelomycterus fasciatus,Compagno & Stevens 1993 
