reference_name,reference_doi,species_superorder,species_name,marine_province,location_name,lat,long,date,sex,trait_class,trait_name,standard_name,method_name,model_name,value,value_type,precision,precision_type,precision_upper,sample_size,dubious,validated,validation_type,notes,contributor_id,depth
tanaka1990d,,Squalomorphii,Chlamydoselachus anguineus,Kuroshio current,"Suruga Bay, Japan",,,1981-1988,Male,Length,Length at first maturity,cm TL,Back calculated,Observational,110,raw_value,,,,139,FALSE,0,,"Via rugosity of claspers, sperm ",,60-240
tanaka1990d,,Squalomorphii,Chlamydoselachus anguineus,Kuroshio current,"Suruga Bay, Japan",,,1981-1988,Male,Length,Lmax-observed,cm TL,Max observed size,Observational,154.8,max,,,,1,FALSE,0,,,,60-240
tanaka1990d,,Squalomorphii,Chlamydoselachus anguineus,Kuroshio current,"Suruga Bay, Japan",,,1981-1988,Female,Length,Length at first maturity,cm TL,Back calculated,Observational,140,raw_value,,range,150,125,FALSE,0,,,,60-240
tanaka1990d,,Squalomorphii,Chlamydoselachus anguineus,Kuroshio current,"Suruga Bay, Japan",,,1981-1988,Female,Reproduction,Uterine fecundity,n,Macroscopic observation,,2,min,,range,10,20,FALSE,0,,Encapsulated embryos,,60-240
tanaka1990d,,Squalomorphii,Chlamydoselachus anguineus,Kuroshio current,"Suruga Bay, Japan",,,1981-1988,Female,Reproduction,Uterine fecundity,n,Macroscopic observation,,6.3,mean,2.61,standard deviation,,20,FALSE,0,,,,60-240
tanaka1990d,,Squalomorphii,Chlamydoselachus anguineus,Kuroshio current,"Suruga Bay,  Japan",,,1981-1988,Female,Length,Lmax-observed,cm TL,Max observed size,,185.2,max,,,,1,FALSE,0,,,,60-240
tanaka1990d,,Squalomorphii,Chlamydoselachus anguineus,Kuroshio current,"Suruga Bay, Japan",,,1981-1988,Female,Reproduction,Ovum diameter,mm,Macroscopic observation,,96.5,max,,,,1,FALSE,0,,mean of 3 linear measurements ,,60-240
tanaka1990d,,Squalomorphii,Chlamydoselachus anguineus,Kuroshio current,"Suruga Bay, Japan",,,1981-1988,Female,Reproduction,Ovarian fecundity,n,Macroscopic observation,,6,min,,range,16,14,FALSE,0,,Ripe ova,,60-240
tanaka1990d,,Squalomorphii,Chlamydoselachus anguineus,Kuroshio current,"Suruga Bay, Japan",,,1981-1988,Female,Reproduction,Ovarian fecundity,n,Macroscopic observation,,8.3,mean,2.52,standard deviation,,14,FALSE,0,,,,60-240
tanaka1990d,,Squalomorphii,Chlamydoselachus anguineus,Kuroshio current,"Suruga Bay, Japan",,,1981-1988,Female,Length,Length of largest immature,cm TL,Directly observed,Observational,155.9,max,,,,1,FALSE,0,,,,60-240
