Superorder,Order,Family,Genus,Species,Source_year,AuthorYear,DataSource,Source_observation,General_data_type,Unit,Unit_time ,Unit_spatial,Unit_gear,Unit_transformation,Unit_freeform,Model,Sampling_method_general,Sampling_method_info,Dataset_location,Dataset_representativeness_experts,Experts_for_representativeness,Coastal_province,Pelagic_province,FAO_area,Dataset_map,Latitude ,Longitude,Ocean,Datamined,Variance,PageAndFigureNumber,LineUsed,PDFPage,ActualPage,FigureName,FigureData,Comments,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Batoidea,Myliobatiformes,Myliobatidae,Aetomylaeus,bovinus,2016,LaMasa_2016,10.1080/19425120.2016.1167795,fishery_independent,sCPUE,individual,NA,1000000m3,NA,NA,NA,GAM,trawl,midwater,north_adriatic,NA,NA,4,NA,37,Y,45,13,Mediterranean,Y,N,p386t2,CPUE Bull Ray,6,386,NA,NA,Taxonomic change to: Aetomylaeus bovinus. In report: Pteromylaeus bovinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.021,0.039,0.009,0.006,0.002,0.002,0.002,NA,NA,NA,NA,NA,NA,NA
Galeomorphii,Lamniformes,Alopiidae,Alopias,superciliosus,2018,Fu_2018,"Fu, D., M. J. Roux, C. Shelley, M. Francis, A. Dunn, and S. Hoyle. 2018. Pacific-wide sustainability risk assessment of bigeye thresher shark (Alopias superciliosus). Western and Central Pacific Fisheries Commission, Wellington, New Zealand.",fishery_independent,sCPUE,individual,NA,NA,1000hook,NA,NA,NA,longline,observer,Central northern Pacific,"North Pacific, South Pacific",IUCN Pelagic sharks and rays - Dallas Nov 2018,"37,39","5,9,15",77,Y,20,-157,Pacific,N,Y,p45t6,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1664,0.326,0.2585,0.2356,0.1561,0.1364,0.139,0.1633,0.1421,0.1833,0.166,0.2055,0.1562,0.1805,0.1994,0.1776,0.1623,0.1995,0.205,0.3027,NA,NA,NA,NA,NA,NA
Galeomorphii,Lamniformes,Alopiidae,Alopias,superciliosus,2016,Young_2016a,Young et al. 2016. Status review report: common thresher shark (Alopias vulpinus) and bigeye thresher shark (Alopias superciliosus). ,fishery_independent,sCPUE,individual,NA,NA,1000hook,NA,NA,delta lognormal GLM,longline,NA,Hawaii,NA,NA,37,15,77,N,20,-158,Pacific,Y,Y,p62f32,Solid black line,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1239,0.2215,0.1833,0.2102,0.1295,0.1338,0.1267,0.1876,0.1295,0.2201,0.08,0.155,0.128,0.0885,0.1182,0.1083,0.114,0.1352,0.1366,0.2428,NA,NA,NA,NA,NA,NA
Galeomorphii,Lamniformes,Alopiidae,Alopias,superciliosus,2016,Young_2016a,Young et al. 2016. Status review report: common thresher shark (Alopias vulpinus) and bigeye thresher shark (Alopias superciliosus). ,fishery_independent,sCPUE,individual,NA,NA,1000hook,divided by 1 st year,NA,delta lognormal GLM,longline,NA,West Atlantic,North Atlantic,IUCN Pelagic sharks and rays - Dallas Nov 2018,"5,6,12","8, 26, 28, 31,32","21,31, 41",N,27,-68,Atlantic,Y,Y,p79f41,bottom panel,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.675172736,0.302311367,0.569687626,0.687482601,0.464601836,0.432127387,0.572759114,0.744039122,0.310773911,0.587499488,0.280808033,0.345593559,0.622640036,0.636378665,0.33357552,0.589868832,0.393222981,0.36663414,0.34057429,0.383842007,0.293394831,NA,NA,NA,NA,NA,NA,NA
Galeomorphii,Lamniformes,Alopiidae,Alopias,"superciliosus,vulpinus",2010,Baum_2010,10.1016/j.fishres.2009.11.006,"fisheries, fishery_independent",sCPUE,individual,NA,NA,1000hook,NA,NA,GLM,longline,pelagic,West Atlantic,NA,NA,"5,6,12","8, 26, 28, 31,32","21,31, 41",Y,27,-66,Atlantic,Y,Y,p236f5c,NA,8,236,Baum_2010_ThresharShark.png,Baum_2010_ThresharShark.txt,"Time-series represents group: Alopias superciliosus, A. vulpinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5117,0.3902,0.1351,0.1474,0.2437,0.1907,0.0973,0.178,0.2588,0.1373,0.1434,0.1651,0.221,0.2612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galeomorphii,Lamniformes,Alopiidae,Alopias,"superciliosus,vulpinus",2003,Baum_2003,10.1126/science.1079777,fisheries,abundance,individual,NA,NA,NA,standardize at 1 in first year,NA,GLM,longline,pelagic,West Atlantic,NA,NA,"5,6,12","8, 26, 28, 31,32","21,31, 41",Y,23,-75,Atlantic,Y,Y,p390f2e,NA,2,390,Baum_2003_ThresherShark.png,Baum_2003_ThresherShark.txt,"Time-series represents group: Alopias superciliosus, A. vulpinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.004,1.2182,0.8505,0.649,0.483,0.6261,0.4008,0.3657,0.3067,0.4852,0.4382,0.3079,0.3321,0.2138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galeomorphii,Lamniformes,Alopiidae,Alopias,"superciliosus,vulpinus",2007,Cortes_2007a,10.18785/gcr.1902.06,fisheries,sCPUE,individual,NA,NA,NA,divided_by_mean,NA,delta lognormal GLM,longline,pelagic,West Atlantic,NA,NA,"5,6,12","8, 26, 28, 31,32","21,31, 41",Y,27,-68,Atlantic,Y,Y,p45f5a,Logbook ,10,45,Cortes_2007_ThreshserA.png,Cortes_2007_ThreshserA.txt,"Time-series represents group: Alopias superciliosus, A. vulpinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5992,1.5992,1.2652,1.4372,1.1538,1.0324,1.2045,1.0729,0.9919,0.9109,0.7793,0.7186,0.7085,0.6883,0.7287,0.6478,0.6883,0.7591,0.8907,0.9109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galeomorphii,Lamniformes,Alopiidae,Alopias,"superciliosus,vulpinus",2007,Cortes_2007a,10.18785/gcr.1902.06,fishery_independent,sCPUE,individual,NA,NA,NA,divided_by_mean,NA,delta lognormal GLM,longline,pelagic,West Atlantic,NA,NA,"5,6,12","8, 26, 28, 31,32","21,31, 41",Y,27,-68,Atlantic,Y,Y,p45f5b,OBServ,10,45,Cortes_2007_ThresherB.png,Cortes_2007_ThresherB.txt,"Time-series represents group: Alopias superciliosus, A. vulpinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2519,1.4963,0.5549,0.5278,1.0579,0.7308,0.6324,0.9767,1.0496,0.8226,1.5669,0.7542,1.0271,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galeomorphii,Lamniformes,Alopiidae,Alopias,"superciliosus,vulpinus",2007,Cortes_2007a,10.18785/gcr.1902.06,fisheries,sCPUE,individual,NA,NA,NA,divided_by_mean,NA,delta lognormal GLM,longline,pelagic,Gulf of Mexico,NA,NA,"6, 12",26,31,Y,25,-88,Atlantic,Y,Y,p45f5c,Logbook_std G+C,10,45,Cortes_2007_ThresherC.png,Cortes_2007_ThresherC.txt,"Time-series represents group: Alopias superciliosus, A. vulpinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4008,1.8288,1.9844,1.8872,1.1673,1.0895,1.7315,1.3424,0.9533,1.1089,1.2257,1.0506,0.4475,0.6031,0.3307,0.3113,0.1945,0.214,0.1945,0.5447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galeomorphii,Lamniformes,Alopiidae,Alopias,"superciliosus,vulpinus",2002,Cortes_2002b,"Cortés, Enric. Catches and catch rates of pelagic sharks from the northwestern Atlantic, Gulf of Mexico, and Caribbean. ICCAT Coll. Vol. Sci. Pap 54.4 (2002): 1164-1181.",fisheries,nCPUE,individual,NA,NA,NA,divided by coefficient of variation,NA,NA,longline,NA,West Atlantic,NA,NA,"5,6,12","8, 26, 28, 31,32","21,31, 41",N,27,-68,Atlantic,Y,N,p17f2c,LPL,17,17,Cortes_2002_ThresherShark,Cortes_2002_ThresherShark.txt,"Time-series represents group: Alopias superciliosus, A. vulpinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1094,0.5081,1.4631,1.9241,1.7457,1.0533,1.7911,0.802,0.3667,0.4123,0.5899,0.5567,0.319,0.1209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
