species_name,trait_class,trait_name,standard_name,method_name,model_name,value,value_type,precision,precision_type,sample_size,sex,location,reference_doi
species_4,,,,,,,,,,,,,
species_4,,,,,,,,,,,,,
species_4,,,,,,,,,,,,,
species_4,,,,,,,,,,,,,
species_4,,,,,,,,,,,,,
species_4,,,,,,,,,,,,,
species_4,,,,,,,,,,,,,
species_4,,,,,,,,,,,,,
species_4,Length,,,,,44.8,max,,,9,,Western Australia,
species_4,Length,,,,,44,max,,,9,,Western Australia,
species_4,Length,,,,,42.4,max,,,9,,Western Australia,
species_4,Length,,,,,44,min,,,9,,Western Australia,
species_4,Length,,,,,87.7,max,,,9,,Western Australia,
species_4,Length,,,,,91.2,max,,,9,,Western Australia,
species_4,Length,,,,,89.7,max,,,9,,Western Australia,
species_4,Length,,,,,91.2,min,,,9,,Western Australia,
species_5,,,,,,,,,,,,,
species_5,,,,,,,,,,,,,
species_5,Length,,,,,52.8,max,,,1,,"Tongue of the Ocean, Bahamas, Andros Island",
species_5,Length,,,,,88.1,max,,,1,,"Tongue of the Ocean, Bahamas, Andros Island",
species_6,,,,,,,,,,,,,
species_6,,,,,,,,,,,,,
species_6,,,,,,,,,,,,,
species_6,,,,,,,,,,,,,
species_6,,,,,,,,,,,,,
species_6,,,,,,,,,,,,,
species_6,Length,,,,,55.4,max,,,28,,"San Andrés Archipelago (western Caribbean Sea, Colombia)",
species_6,Length,,,,,80.3,max,,,28,,"San Andrés Archipelago (western Caribbean Sea, Colombia)",
species_6,Reproduction,,,,,17.58,mean,9.96,standard deviation,1,,"St. Croix, U.S. Virgin Islands",
species_6,Reproduction,,,,,9,min,9.96,standard deviation,1,,"St. Croix, U.S. Virgin Islands",
species_6,Reproduction,,,,,35,max,9.96,standard deviation,1,,"St. Croix, U.S. Virgin Islands",
species_6,Reproduction,,,,,58,max,,,1,,"St. Croix, U.S. Virgin Islands",
species_7,,,,,,,,,,,,,
species_7,,,,,,,,,,,,,
species_7,,,,,,,,,,,,,
species_7,,,,,,,,,,,,,
species_7,,,,,,,,,,,,,
species_7,,,,,,,,,,,,,
species_7,Length,,,,,66.1,max,,,20,,"South-east of Cape Everard, Victoria",
species_7,Length,,,,,52.4,max,,,20,,"South-east of Cape Everard, Victoria",
species_7,Length,,,,,46.5,min,,,20,,"South-east of Cape Everard, Victoria",
species_7,Length,,,,,118.7,max,,,20,,"South-east of Cape Everard, Victoria",
species_7,Length,,,,,100,max,,,20,,"South-east of Cape Everard, Victoria",
species_7,Length,,,,,80,min,,,20,,"South-east of Cape Everard, Victoria",
species_9,,,,,,,,,,,,,
species_9,,,,,,,,,,,,,
species_9,,,,,,,,,,,,,
species_9,,,,,,,,,,,,,
species_9,,,,,,,,,,,,,
species_9,Length,,,,,89,max,,,9,,"SW of Veryan Bank, Chatham Rise",
species_9,Length,,,,,77.9,max,,,8,,"SW of Veryan Bank, Chatham Rise",
species_9,Length,,,,,60,min,,range,18,,"SW of Veryan Bank, Chatham Rise",
species_9,Length,,,,,142,max,,,9,,"SW of Veryan Bank, Chatham Rise",
species_9,Length,,,,,125.1,max,,,8,,"SW of Veryan Bank, Chatham Rise",
species_10,,,,,,,,,,,,,
species_10,,,,,,,,,,,,,
species_10,,,,,,,,,,,,,
species_10,,,,,,,,,,,,,
species_10,,,,,,,,,,,,,
species_10,,,,,,,,,,,,,
species_10,Length,,,,,52.7,max,,,8,,"East of Brush Island, New South Wales",
species_10,Length,,,,,60.8,max,,,8,,"East of Brush Island, New South Wales",
species_10,Length,,,,,60.5,min,,,8,,"East of Brush Island, New South Wales",
species_10,Length,,,,,103.4,max,,,8,,"East of Brush Island, New South Wales",
species_10,Length,,,,,93.9,max,,,8,,"East of Brush Island, New South Wales",
species_10,Length,,,,,92.5,min,,,8,,"East of Brush Island, New South Wales",
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,,,,,,,,,,,,,
species_11,Reproduction,,,,,6.46,mean,2.32,standard deviation,,,Portuguese Continental Shelf,
species_11,Growth,,,,,53.3,raw_value,,,53,,Portuguese Continental Shelf,
species_11,Growth,,,,,0.14,raw_value,,,53,,Portuguese Continental Shelf,
species_11,Growth,,,,,-0.5,raw_value,,,53,,Portuguese Continental Shelf,
species_11,Growth,,,,,63.562,raw_value,,,53,,Portuguese Continental Shelf,
species_11,Growth,,,,,0.1,raw_value,,,53,,Portuguese Continental Shelf,
species_11,Growth,,,,,-1.08,raw_value,,,53,,Portuguese Continental Shelf,
species_11,Length,,,,,71,max,,,1,,Rockall Trough and Faroe-Shetland Channel,
species_11,Length,,,,,74,max,,,1,,Rockall Trough and Faroe-Shetland Channel,
species_11,Growth,,,,,49.4,raw_value,,,,,Rockall Trough and Faroe-Shetland Channel,
species_11,Growth,,,,,8.3,raw_value,,,,,Rockall Trough and Faroe-Shetland Channel,
species_11,Growth,,,,,4.33,mean,,,168,,Rockall Trough and Faroe-Shetland Channel,
species_11,Age,,,,,30,max,,,1,,Rockall Trough and Faroe-Shetland Channel,
species_11,Age,,,,,26,max,,,1,,Rockall Trough and Faroe-Shetland Channel,
species_11,Age,,,,,13.4,raw_value,,,10,,Rockall Trough and Faroe-Shetland Channel,
species_11,Age,,,,,11.2,raw_value,,,52,,Rockall Trough and Faroe-Shetland Channel,
species_11,Growth,,,,,78.87,raw_value,,,62,,Rockall Trough and Faroe-Shetland Channel,
species_11,Growth,,,,,0.0673,raw_value,,,62,,Rockall Trough and Faroe-Shetland Channel,
species_11,Growth,,,,,-2.513,raw_value,,,62,,Rockall Trough and Faroe-Shetland Channel,
species_11,Growth,,,,,12.28,raw_value,,,62,,Rockall Trough and Faroe-Shetland Channel,
species_11,Age,,,,,15,max,,,1,,Portuguese Continental Shelf,
species_11,Age,,,,,17,max,,,1,,Portuguese Continental Shelf,
species_11,Length,,,,,40.2,raw_value,,,53,,Portuguese Continental Shelf,
species_11,Length,,,,,45.9,raw_value,,,53,,Portuguese Continental Shelf,
species_11,Length,,,,,50.3,max,,,1,,Portuguese Continental Shelf,
species_11,Length,,,,,57.1,max,,,1,,Portuguese Continental Shelf,
species_11,Reproduction,,,,,Oviparous ,raw_value,,,,,Portuguese Continental Shelf,
species_12,,,,,,,,,,,,,
species_12,,,,,,,,,,,,,
species_12,Length,,,,,53.4,max,,,5,,"Cape Agulhas, southern Africa",
species_12,Length,,,,,93,max,,,5,,"Cape Agulhas, southern Africa",
species_13,,,,,,,,,,,,,
species_13,,,,,,,,,,,,,
species_13,Length,,,,,53.1,max,,,2,,"East of Tuncurry, New South Wales",
species_13,Length,,,,,95.1,max,,,2,,"East of Tuncurry, New South Wales",
species_14,,,,,,,,,,,,,
species_14,,,,,,,,,,,,,
species_14,,,,,,,,,,,,,
species_14,,,,,,,,,,,,,
species_14,,,,,,,,,,,,,
species_14,Length,,,,,70.3,max,,,9,,"Island of Madeira, northwest African coast",
species_14,Length,,,,,86.3,max,,,9,,"Island of Madeira, northwest African coast",
species_14,Length,,,,,11.7,min,,,9,,"Island of Madeira, northwest African coast",
species_14,Length,,,,,63.4,max,,,32,,Great Sole Bank,
species_14,Length,,,,,109.8,max,,,32,,Great Sole Bank,
species_19,,,,,,,,,,,,,
species_19,,,,,,,,,,,,,
species_19,,,,,,,,,,,,,
species_19,,,,,,,,,,,,,
species_19,,,,,,,,,,,,,
species_19,Length,,,,,35,min,,,34,,South-East Atlantic,
species_19,Length,,,,,41.5,max,,,34,,South-East Atlantic,
species_19,Length,,,,,35,min,,,31,,South-East Atlantic,
species_19,Length,,,,,46.5,max,,,31,,South-East Atlantic,
species_19,Length,,,,,90,max,,,65,,South-East Atlantic,
species_21,,,,,,,,,,,,,
species_21,,,,,,,,,,,,,
species_21,,,,,,,,,,,,,
species_21,,,,,,,,,,,,,
species_21,Length,,,,,24.9,max,,,1,,"Galapagos Islands, Ecuador",
species_21,Length,,,,,24.4,max,,,1,,"Galapagos Islands, Ecuador",
species_21,Length,,,,,41.9,max,,,1,,"Galapagos Islands, Ecuador",
species_21,Length,,,,,48,max,,,1,,"Galapagos Islands, Ecuador",
species_23,,,,,,,,,,,,,
species_23,,,,,,,,,,,,,
species_23,,,,,,,,,,,,,
species_23,,,,,,,,,,,,,
species_23,Length,,,,,57.2,max,,,8,,N of Mernoo Bank,
species_23,Length,,,,,42.5,max,,,10,,N of Mernoo Bank,
species_23,Length,,,,,111.5,max,,,8,,N of Mernoo Bank,
species_23,Length,,,,,86.7,max,,,10,,N of Mernoo Bank,
species_29,,,,,,,,,,,,,
species_29,,,,,,,,,,,,,
species_29,,,,,,,,,,,,,
species_29,,,,,,,,,,,,,
species_29,Length,,,,,92.1,max,,,13,,"Algarve, Portuguese continental slope",
species_29,Length,,,,,98.6,max,,,13,,"Algarve, Portuguese continental slope",
species_29,Length,,,,,117.7,,,,13,,"Algarve, Portuguese continental slope",
species_29,Length,,,,,95.4,max,,,13,,"Algarve, Portuguese continental slope",
species_32,,,,,,,,,,,,,
species_32,,,,,,,,,,,,,
species_32,,,,,,,,,,,,,
species_32,,,,,,,,,,,,,
species_32,,,,,,,,,,,,,
species_32,,,,,,,,,,,,,
species_32,,,,,,,,,,,,,
species_32,,,,,,,,,,,,,
species_32,,,,,,,,,,,,,
species_32,Length,,,,,24.6,max,,,8,,Santa Catarina,
species_32,Length,,,,,21.6,mean,27.7,standard deviation,8,,Santa Catarina,
species_32,Length,,,,,30.8,max,,,13,,Santa Catarina,
species_32,Length,,,,,26.6,mean,33.8,standard deviation,13,,Santa Catarina,
species_32,Length,,,,,30.2,max,,,8,,Santa Catarina,
species_32,Length,,,,,26.8,mean,23.8,standard deviation,8,,Santa Catarina,
species_32,Length,,,,,37.8,max,,,13,,Santa Catarina,
species_32,Length,,,,,32.8,mean,36.6,standard deviation,13,,Santa Catarina,
species_32,Length,,,,,29.6,min,,,8,,Santa Catarina,
species_33,,,,,,,,,,,,,
species_33,,,,,,,,,,,,,
species_33,,,,,,,,,,,,,
species_33,Length,,,,,21.1,max,,,2,,"Southeast of San Cristóbal Island, Galápagos",
species_33,Length,,,,,27.4,max,,,2,,"Southeast of San Cristóbal Island, Galápagos",
species_33,Length,,,,,38.1,max,,,2,,"Southeast of San Cristóbal Island, Galápagos",
species_34,,,,,,,,,,,,,
species_34,,,,,,,,,,,,,
species_34,,,,,,,,,,,,,
species_34,,,,,,,,,,,,,
species_34,,,,,,,,,,,,,
species_34,,,,,,,,,,,,,
species_34,,,,,,,,,,,,,
species_34,,,,,,,,,,,,,
species_34,,,,,,,,,,,,,
species_34,,,,,,,,,,,,,
species_34,,,,,,,,,,,,,
species_34,,,,,,,,,,,,,
species_34,,,,,,,,,,,,,
species_34,,,,,,,,,,,,,
species_34,,,,,,,,,,,,,
species_34,,,,,,,,,,,,,
species_34,,,,,,,,,,,,,
species_34,,,,,,,,,,,,,
