sharkipedia_id,sharkipedia_source,sharkipedia_doi,match_method,our_doi,our_title,our_year,our_authors,our_literature_id
aguirrevillasenor2012,"AGUIRRE-VILLASEÑOR, H. & SALAS-SINGH, C. (2012) New records of the lollipop catshark Cephalurus cephalus (Scyliorhinidae) from the Gulf of California, Mexico. Revista Mexicana de Biodiversidad, 83 (1): 298",,title+year,,"New records of the lollipop catshark Cephalurus cephalus (Scyliorhinidae) from the Gulf of California, Mexico.",2012,"Aguirre-Villaseñor, H. & Salas-Singh, C. (2012)",15662.0
aguirrevillasenor2013,"AGUIRRE-VILLASEÑOR, H. & SALAS-SINGH, C. & MADRID-VERA, J. & MARTÍNEZ-ORTIZ, J. & DIDIER, D.A. & EBERT, D.A. (2013) New eastern Pacific Ocean records of Hydrolagus melanophasma, with annotations of a juvenile female. Journal of Fish Biology, 82 (2): 714",,title+year,10.1111/jfb.12012,"New eastern Pacific Ocean records of Hydrolagus melanophasma, with annotations of a juvenile female.",2013,"Aguirre-Villaseñor, H. & Salas-Singh, C. & Madrid-Vera, J. & Martínez-Ortiz, J. & Didier, D.A. & Ebert, D.A. (2013)",17767.0
akhilesh2008,"AKHILESH, K.V. & MANJEBRAYAKATH, H. & GANGA, U. & BINEESH, K.K. & RAJOOL SHANIS, C.P. (2008) Morphometric characteristics of the pelagic stingray Pteroplatytrygon violacea (Bonaparte, 1832) caught off Cochin, southwest coast of India. Journal of the Marine Biological Association of India, 50 (2) : 235",,title+year,,"Morphometric characteristics of the pelagic stingray Pteroplatytrygon violacea (Bonaparte, 1832) caught off Cochin, southwest coast of India.",2008,"Akhilesh, K.V. & Manjebrayakath, H. & Ganga, U. & Bineesh, K.K. & Rajool Shanis, C.P. (2008)",7691.0
akhilesh2009,"AKHILESH, K.V. & MANJEBRAYAKATH, H. & GANGA, U. & PILLAI, N.G.K. & SEBASTINE, M. (2009) Morphometric characteristics of deepwater stingray Plesiobatis daviesi (Wallace, 1967) collected from the Andaman Sea. Journal of the Marine Biological Association of India, 51 (2): 246",,title+year,,"Morphometric characteristics of deepwater stingray Plesiobatis daviesi (Wallace, 1967) collected from the Andaman Sea.",2009,"Akhilesh, K.V. & Manjebrayakath, H. & Ganga, U. & Pillai, N.G.K. & Sebastine, M. (2009)",7692.0
akhilesh2012,"AKHILESH, K.V. & BINEESH, K.K. & WHITE, W.T. & PILLAI, N.G.K. (2012) Aspects of the biology of the pygmy ribbontail catshark Eridacnis radcliffei Smith (Proscylliidae: Carcharhiniformes) from the southwest coast of India. Journal of Fish Biology, 81 (3): 1138",,title+year,10.1111/j.1095-8649.2012.03379.x,Aspects of the biology of the pygmy ribbontail catshark Eridacnis radcliffei Smith (Proscylliidae: Carcharhiniformes) from the southwest coast of India.,2012,"Akhilesh, K.V. & Bineesh, K.K. & White, W.T. & Pillai, N.G.K. (2012)",16508.0
akhilesh2013,"AKHILESH, K.V. & BINEESH, K.K. & GANGA, U. & PILLAI, N.G.K. (2013) Report of velvet dogfish, Zameus squamulosus (Günther, 1877) (Somniosidae: Squaliformes) from Indian waters. Indian Journal of Fisheries, 60 (3): 127",,title+year,,"Report of velvet dogfish, Zameus squamulosus (Günther, 1877) (Somniosidae: Squaliformes) from Indian waters.",2013,"Akhilesh, K.V. & Bineesh, K.K. & Ganga, U. & Pillai, N.G.K. (2013)",19782.0
akhilesh2013a,"AKHILESH, K.V. & BINEESH, K.K. & GANGA, U. & PILLAI, N.G.K. (2013) Report of crocodile shark Pseudocarcharias kamoharai (Pseudocarchariidae) from deep waters off the south-west coast of India. Marine Biodiversity Records, 6: e99",,title+year,10.1017/s1755267213000778,Report of crocodile shark Pseudocarcharias kamoharai (Pseudocarchariidae) from deep waters off the south-west coast of India.,2013,"Akhilesh, K.V. & Bineesh, K.K. & Ganga, U. & Pillai, N.G.K. (2013)",19673.0
akhilesh2013b,"AKHILESH, K.V. & BINEESH, K.K. & WHITE, W.T. & SHANIS, C.P.R. & HASHIM, M. & GANGA, U. & PILLAI, N.G.K. (2013) Catch composition, reproductive biology and diet of the bramble shark Echinorhinus brucus (Squaliformes: Echinorhinidae) from the south-eastern Arabian Sea. Journal of Fish Biology, 83 (5): 1112",,title+year,10.1111/jfb.12201,"Catch composition, reproductive biology and diet of the bramble shark Echinorhinus brucus (Squaliformes: Echinorhinidae) from the south-eastern Arabian Sea.",2013,"Akhilesh, K.V. & Bineesh, K.K. & White, W.T. & Shanis, C.P.R. & Hashim, M. & Ganga, U. & Pillai, N.G.K. (2013)",19674.0
akhilesh2013d,"AKHILESH, K.V. & WHITE, W.T. & BINEESH, K.K. & GANGA, U. & PILLAI, N.G.K. (2013) Biological observations on the bristly catshark Bythaelurus hispidus from deep waters off the south-west coast of India. Journal of Fish Biology, 82 (5): 1582",,title+year,10.1111/jfb.12087,Biological observations on the bristly catshark Bythaelurus hispidus from deep waters off the south-west coast of India.,2013,"Akhilesh, K.V. & White, W.T. & Bineesh, K.K. & Ganga, U. & Pillai, N.G.K. (2013)",19296.0
akhilesh2014a,"AKHILESH, K.V. & BINEESH, K.K. & MISHRA, S.S. & GANGA, U. & PILLAI, N.G.K. (2014) Notes on the Indian swellshark, Cephaloscyllium silasi (Scyliorhinidae: Carcharhiniformes) from deep waters off the west coast of India. Marine Biodiversity Records, 7: e25",,title+year,10.1017/s1755267214000141,"Notes on the Indian swellshark, Cephaloscyllium silasi (Scyliorhinidae: Carcharhiniformes) from deep waters off the west coast of India.",2014,"Akhilesh, K.V. & Bineesh, K.K. & Mishra, S.S. & Ganga, U. & Pillai, N.G.K. (2014)",20519.0
alejoplata2016,"ALEJO-PLATA, M.D. & AHUMADA-SEMPOAL, M.A. & GOMEZ-MARQUEZ, J.L. & GONZALEZ-ACOSTA, A. (2016) Population structure and reproductive characteristics of the silky shark Carcharhinus falciformis (Muller & Henle, 1839) (Carcharhiniformes: Carcharhinidae) off the coast of Oaxaca, Mexico. Latin American Journal of Aquatic Research, 44 (3): 513",,title+year,10.3856/vol44-issue3-fulltext-10,"Population structure and reproductive characteristics of the silky shark Carcharhinus falciformis (Muller & Henle, 1839) (Carcharhiniformes: Carcharhinidae) off the coast of Oaxaca, Mexico.",2016,"Alejo-Plata, M.D. & Ahumada-Sempoal, M.A. & Gomez-Marquez, J.L. & Gonzalez-Acosta, A. (2016)",24593.0
andrade2008,"ANDRADE, A.C. & SILVA-JUNIOR, L.C. & VIANNA, M. (2008) Reproductive biology and population variables of the Brazilian sharpnose shark Rhizoprionodon lalandii (Müller & Henle, 1839) captured in coastal waters of south-eastern Brazil. Journal of Fish Biology, 72 (3): 473",,title+year,10.1111/j.1095-8649.2007.01706.x,"Reproductive biology and population variables of the Brazilian sharpnose shark Rhizoprionodon lalandii (Müller & Henle, 1839) captured in coastal waters of south-eastern Brazil.",2008,"Andrade, A.C. & Silva-Junior, L.C. & Vianna, M. (2008)",4927.0
anisladotolentino2001,"ANISLADO-TOLENTINO, V. & ROBINSON-MENDOZA, R. (2001) Age and growth for the scalloped hammerhead shark, Sphyrna lewini (Griffith and Smith, 1834) along the central pacific coast of Mexico. Ciencias Marinas, 27 (4): 501",,title+year,,"Age and growth for the scalloped hammerhead shark, Sphyrna lewini (Griffith and Smith, 1834) along the central pacific coast of Mexico.",2001,"Anislado-Tolentino, V. & Robinson-Mendoza, R. (2001)",5651.0
