sharkipedia_id,sharkipedia_source,sharkipedia_doi,extracted_title,extracted_year
acevesgalindolopez2017,"Aceves-Galindo-López, I. M. (2017) Aspectos reproductivos del tiburón cornudo Heterodontus francisci (Girard, 1885) en Bahía Tortugas, Baja California Sur, México. Bachelor thesis, Universidad nacional Autónoma de México. Mexico. 79 pp.",,"Aspectos reproductivos del tiburón cornudo Heterodontus francisci (Girard, 1885) en Bahía Tortugas, Baja California Sur, México",2017
anisladotolentino2000,"Anislado-Tolentino, V. (2000) Ecología pesquera del tiburón martillo Sphyrna lewini (Griffith Y Smith, 1834) en el litoral del estado de Michoacán, México. Master thesis. Universidad Nacional Autonoma de Mexico. Mexico. 145 p.",,"Ecología pesquera del tiburón martillo Sphyrna lewini (Griffith Y Smith, 1834) en el litoral del estado de Michoacán, México",2000
anisladotolentino2008,"Anislado-Tolentino, V. (2008) Demografía y pesquería del tiburón martillo, Sphyrna lewini, (Griffith y Smith, 1834) (Pisces: Elasmobranchii) en dos provincias oceanográficas del Pacífico mexicano. Doctoral thesis. Universidad Nacional Autonoma de Mexico. Mexico. 177 p.",,"Demografía y pesquería del tiburón martillo, Sphyrna lewini, (Griffith y Smith, 1834) (Pisces: Elasmobranchii) en dos provincias oceanográficas del Pacífico mexicano",2008
arriolagodfrey1998,"Arriola-Godfrey, M. (1998) Biología y pesquería del tiburón chato Carcharhinus leucas (Valenciennes, 1839) capturado en la pesca artesanal del Golfo de México. Bachelor thesis, Universidad Nacional Autónoma de México. Mexico. 100 pp.",,"Biología y pesquería del tiburón chato Carcharhinus leucas (Valenciennes, 1839) capturado en la pesca artesanal del Golfo de México",1998
astorqui1967,Astorqui I (1967) Investigaciones de un Jesuita en aguas de Nicaragua. 5. Nuestro pez sierra. Rev Conservadora 16: 71−75,,Investigaciones de un Jesuita en aguas de Nicaragua. 5,1967
barnard1949,"BARNARD, K.H. (1949) Occurrence of the Spiny Dog-fish Oxynotus centrina in South African Waters. Nature, 164 (4179): 970",,Occurrence of the Spiny Dog-fish Oxynotus centrina in South African Waters,1949
bass1975a,"BASS, A.J. & D'AUBREY, J.D. & KISTNASAMY, N. (1975) Sharks of the east coast of Southern Africa. V. The families Hexanchidae, Chlamydoselachidae, Heterodontidae, Pristiophoridae, and Squatinidae. Investigational Report Oceanographic Research Institute, 43: 1",,Sharks of the east coast of Southern Africa,1975
berra1975,"Berra TM, Moore R, Reynolds LF (1975) The freshwater fishes of the Laloki River system of New Guinea. Copeia 1975:316−326",,The freshwater fishes of the Laloki River system of New Guinea,1975
bigelow1953a,"BIGELOW, H.B. & SCHROEDER, W.C. (1953) Sharks, sawfishes, guitarfishes, skates and rays. Chimaeroids. In: Tee",,"Sharks, sawfishes, guitarfishes, skates and rays",1953
blancoparra2009b,"Blanco-Parra, M. del P. (2009b) Biología pesquera de la guitarra pinta, Zapteryx exasperata (Jordan & Gilbert 1880), en la costa central de Sonora, México. Doctoral thesis. Universidad Nacional Autónoma de México. Mexico. 105 pp.",,"Biología pesquera de la guitarra pinta, Zapteryx exasperata (Jordan & Gilbert 1880), en la costa central de Sonora, México",2009
