species_name,n_sharkipedia_traits,n_sharkipedia_trends,trait_classes_available
Aetomylaeus bovinus,0,1,
"Alopias superciliosus,vulpinus",0,6,
"Alopias superciliosus,vulpinus,pelagicus",0,1,
Amblyraja badia,0,0,
Amblyraja robertsi,0,0,
Anacanthobatis donghaiensis,0,0,
Anacanthobatis nanhaiensis,0,0,
"Anoxypristis,pristis a. cuspidata,p. zijsron,p. clavata",0,2,
Bathyraja magellinca,0,0,
Bathyraja marrayi,0,0,
Bathyraja parmifera,0,4,
Bathyraja simoterus,0,0,
Bathyraja smirnovi,0,0,
Batyraja macloviana,0,0,
Beringraja cortezensis,0,0,
Beringraja inornata,0,0,
Beringraja rhina,0,0,
Beringraja stellulata,0,0,
"Carcharhinus altimus,signatus,falciformis,limbatus,brevipinna",0,1,
"Carcharhinus brachyurus,obscurus",0,1,
"Carcharhinus limbatus,tilstoni",0,1,
Carcharhinus perezi,0,1,
"Carcharhinus,rhizoprionodon,negaprion c. tilstoni,c. acronotus,c. leucas,c. limbatus,c. fitzroyensis,c. obscurus,c. macloti,c. amboinensis,c. plumbeus,c. falciformis,c. brevipinna,c. sorrah,r. taylori,r. acutus,n. acutidens",0,2,
"Centrophorus granulosus, squamosus, tessellatus",0,1,
"Centrophorus moluccensis,uyato",0,2,
Centrophorus zeehaani,0,0,
Cephaloscyllium isabellum,0,0,
Cephaloscyllium maculatum,0,0,
Cephaloscyllium pardelotum,0,0,
Crassinarke dormitor,0,0,
Dasyatis matsubarai,0,0,
Dasyatis multispinosa,0,0,
Dasyatis thetidis,0,0,
Dasyatis ushiei,0,0,
Deania calcea,9,9,Length; Reproduction
"Deania calcea,profundorum",0,2,
Deania hystricosa,0,0,
"Dipturus batis,intermedius",0,2,
Dipturus chilensis,0,3,
Dipturus flavirostris,0,0,
Dipturus lamillai,0,1,
Dipturus leptocaudus,0,0,
Dipturus macrocaudus,0,0,
Dipturus trachydermus,0,0,
Etmopterus benchleyi,0,0,
Etmopterus burgessi,0,0,
Etmopterus joungi,0,0,
Fontitrygon geijskesi,0,0,
Glyphis fowlerae,0,0,
Glyphis siamensis,0,0,
Glyphis sp.1,0,0,
Gymnura bimaculata,0,0,
Gymnura crooki,0,0,
Gymnura zonura,0,0,
Hemitrygon bennetti,0,0,
Heteronarce prabhui,0,0,
Hydrolagus eidolon,0,0,
Hydrolagus lemures,0,0,
Hydrolagus ogilbyi,4,0,Length
Iago mangalorensis,0,0,
Isistius labialis,0,0,
Isogomphodon oxyrhynchus,0,0,
"Isurus oxyrinchus,paucus",0,4,
Leucoraja caribbaea,0,0,
Leucoraja erinacea,0,1,
"Leucoraja fullonica,circularis",0,1,
Leucoraja virginica,0,0,
Mobula diabolus,0,0,
Mobula eregoodootenkee,0,0,
Mobula japanica,4,0,Length; Reproduction
Mobula rochebrunei,0,0,
"Mustelus canis,norrisi,sinusmexicanus",0,1,
Mustelus walkeri,0,0,
Myliobatis australis,0,0,
Myliobatis californicus,11,0,Length; Relationships; Reproduction
Myliobatis peruvianus,0,0,
Myliobatis rhombus,0,0,
Myliobatis tenuicaudatus,0,1,
Narcine bicolor,0,0,
Narcine firma,0,0,
Neotrygon orientalis,0,0,
Okamejei porosa,0,0,
Paragaleus randalli,0,0,
Parmaturus albimarginatus,0,0,
Parmaturus bigus,0,0,
Parmaturus melanobranchus,0,0,
Parmaturus sp.,0,0,
Potamotrygon castexi,0,0,
Potamotrygon dumerilii,0,0,
"Pristiophorus cirratus,nudipinnis",0,1,
"Pristis pristis,zijsron",0,1,
Proscyllium magnificum,0,0,
Proscyllium venustum,0,0,
Proscymnodon plunketi,0,0,
Psammobatis parvacauda,0,0,
Pseudobatos glaucostigmus,4,0,Relationships
Raja africana,0,0,
Raja alia,0,0,
Raja arctowskii,0,0,
Raja atriventralis,0,0,
Raja macrorynchus,0,0,
Raja pita,0,0,
Raja rondeleti,0,0,
Raja rouxi,0,0,
Rajella leoparda,0,1,
Rhina ancylostoma,1,0,Length
Rhinobatos formosensis,0,0,
Rhinoptera adspersa,0,0,
Rhinoptera hainanensis,0,0,
Rhinoptera sewelli,0,0,
Rhinoraja taranetzi,0,0,
Scyliorhinus besnardi,0,0,
Scyliorhinus tokubee,0,0,
Scymnodon plunketi,0,2,
"Sphyrna lewini,mokarran",0,3,
"Sphyrna lewini,mokarran,zygaena",0,3,
"Sphyrna mokarran,zygaena",0,1,
"Sphyrna,eusphyra s. mokarran,s. lewini,e. blochii",0,1,
"Sphyrna,eusphyra s. mokarran,s. lewini,s. zygaena,e. blochii",0,1,
Squalus rancureli,0,0,
Stegostoma fasciatum,3,0,Length; Relationships
Tetronarce tokionsis,0,0,
Torpedo fairchildi,0,0,
Torpedo macneilli,0,0,
Torpedo microdiscus,0,0,
Torpedo peruana,0,0,
Torpedo semipelagica,0,0,
Torpedo zugmayeri,0,0,
Trygonorrhina melaleuca,0,0,
Typhlonarke tarakea,0,0,
Urotrygon caudispinosus,0,0,
Urotrygon serrula,0,0,
Zearaja argentinensis,0,0,
