Species,Common
Acroteriobatus annulatus,Guitarfish
Acroteriobatus annulatus,Lesser guitarfish
Acroteriobatus annulatus,Lesser sandshark
Acroteriobatus annulatus,Sandshark
Acroteriobatus blochii,Bluntnose fiddlefish
Acroteriobatus blochii,Bluntnose guitarfish
Acroteriobatus blochii,Guitarfish
Acroteriobatus blochii,Sandshark
Acroteriobatus leucospilus,Blue-spotted guitarfish
Acroteriobatus leucospilus,Grayspot guitarfish
Acroteriobatus leucospilus,Grayspot sandshark
Acroteriobatus leucospilus,Grayspotted guitarfish
Acroteriobatus ocellatus,Speckled guitarfish
Acroteriobatus omanensis,Oman guitarfish
Acroteriobatus salalah,Salalah guitarfish
Acroteriobatus variegatus,Stripenose guitarfish
Acroteriobatus variegatus,Variegated shovelnose guitarfish
Acroteriobatus zanzibarensis,Zanzibar guitarfish
Aculeola nigra,Hooktooth dogfish
Aetobatus flagellum,Eagle ray
Aetobatus flagellum,Longheaded eagle ray
Aetobatus flagellum,Plain eagle ray
Aetobatus laticeps,Pacific eagle ray
Aetobatus narinari,Bishop ray
Aetobatus narinari,Bonnet skate
Aetobatus narinari,Duckbill eagle-ray
Aetobatus narinari,Duckbill ray
Aetobatus narinari,Eagle ray
Aetobatus narinari,Flying ray
Aetobatus narinari,Lady ray
Aetobatus narinari,Leopard ray
Aetobatus narinari,Long spotted eagle ray
Aetobatus narinari,Mottled eagle ray
Aetobatus narinari,Spotted bonnetray
Aetobatus narinari,Spotted duckbill ray
Aetobatus narinari,Spotted duckbilled ray
Aetobatus narinari,Spotted eagle ray
Aetobatus narinari,Spotted eagle-ray
Aetobatus narinari,Spotted stingray
Aetobatus narinari,Spotted whipray
Aetobatus narinari,Spotted-eagle ray
Aetobatus narinari,Sunfish
Aetobatus narinari,Whip
Aetobatus narinari,Whipray
Aetobatus narinari,White-spotted eagle ray
Aetobatus narinari,Whitespotted eagle ray
Aetobatus narutobiei,Naru eagle ray
Aetobatus ocellatus,Ocellated eagle ray
Aetobatus ocellatus,Sharpwing eagle ray
Aetobatus ocellatus,Spotted duckbill ray
Aetobatus ocellatus,White-spotted eagle ray
Aetomylaeus caeruleofasciatus,Blue-banded eagle ray
Aetomylaeus maculatus,Bat ray
Aetomylaeus maculatus,Mottled eagle ray
Aetomylaeus maculatus,Mottled eagle-ray
Aetomylaeus maculatus,Ocellate eagle ray
Aetomylaeus maculatus,Ornate eagle ray
Aetomylaeus maculatus,Vulturine ray
Aetomylaeus milvus,Brown eagle-ray
Aetomylaeus milvus,Eagle ray
Aetomylaeus nichofii,Banded eagle ray
Aetomylaeus nichofii,Barbless eagle ray
Aetomylaeus nichofii,Eagle ray
Aetomylaeus nichofii,Neiuhof's eagle ray
Aetomylaeus nichofii,Nieuhof's eagle ray
Aetomylaeus nichofii,Nieuhof's eagle-ray
Aetomylaeus vespertilio,Ornate eagle ray
Aetomylaeus vespertilio,Reticulate eagle ray
Alopias pelagicus,Fox shark
Alopias pelagicus,Pelagic thresher shark
Alopias pelagicus,Small tooth thresher shark
Alopias pelagicus,Smalltooth thresher shark
Alopias pelagicus,Whiptail shark
Alopias superciliosus,Bigeye thresher shark
Alopias superciliosus,Long-tailed shark
Alopias superciliosus,Whiptail
Alopias vulpinus,Atlantic thresher
Alopias vulpinus,Common thresher shark
Alopias vulpinus,Fox shark
Alopias vulpinus,Grayfish
Alopias vulpinus,Green thresher
Alopias vulpinus,Sea fox
Alopias vulpinus,Slasher
Alopias vulpinus,Swingletail
Alopias vulpinus,Swiveltail
Alopias vulpinus,Swivetail
Alopias vulpinus,Thintail thresher
Alopias vulpinus,Whip-tailed shark
Alopias vulpinus,Zorro thresher shark
Amblyraja doellojuradoi,Southern thorny skate
Amblyraja frerichsi,Thickbody skate
Amblyraja georgiana,Amblyraja georgiana
Amblyraja georgiana,Antarctic starry skate
Amblyraja hyperborea,Arctic skate
Amblyraja hyperborea,Artic skate
Amblyraja hyperborea,Bigmouth skate
Amblyraja hyperborea,Blackbelly skate
Amblyraja hyperborea,Boreal skate
Amblyraja hyperborea,Broad skate
Amblyraja hyperborea,Darkbelly skate
Amblyraja hyperborea,Northern skate
Amblyraja jenseni,Jensen's skate
Amblyraja jenseni,Raie de Jensen
Amblyraja jenseni,Shorttail skate
Amblyraja radiata,Artic thorny skate
Amblyraja radiata,Atlantic pricly skate
Amblyraja radiata,Maiden ray
Amblyraja radiata,Miller
Amblyraja radiata,Miller ray
Amblyraja radiata,Starry ray
Amblyraja radiata,Starry skate
Amblyraja radiata,Thornback
Amblyraja radiata,Thorny back
Amblyraja radiata,Thorny skate
Amblyraja reversa,Reversed skate
Amblyraja taaf,Thorny skate
Amblyraja taaf,Whiteleg skate
Anacanthobatis donghaiensis,East China leg skate
Anacanthobatis nanhaiensis,South China leg skate
Anoxypristis cuspidata,Knifetooth sawfish
Anoxypristis cuspidata,Narrow sawfish
Anoxypristis cuspidata,Pointed saw-fish
Anoxypristis cuspidata,Pointed sawfish
Anoxypristis cuspidata,Saw fish
Anoxypristis cuspidata,Saw shark
Anoxypristis cuspidata,Sawfish
Apristurus breviventralis,Shortbelly catshark
Apristurus brunneus,Brown cat shark
Apristurus brunneus,Brown catshark
Apristurus brunneus,Brown shark
Apristurus bucephalus,Bighead catshark
Apristurus canutus,Hoary cat shark
Apristurus canutus,Hoary catshark
Apristurus gibbosus,Humpback cat shark
Apristurus herklotsi,Longfin cat shark
Apristurus herklotsi,Longfin catshark
Apristurus indicus,Smallbelly cat shark
Apristurus indicus,Smallbelly catshark
Apristurus investigatoris,Broadnose cat shark
Apristurus investigatoris,Broadnose catshark
Apristurus japonicus,Japanese cat shark
Apristurus japonicus,Japanese catshark
Apristurus kampae,Longnose cat shark
Apristurus kampae,Longnose catshark
Apristurus laurussonii,Atlantic ghost cat shark
Apristurus laurussonii,Atlantic ghost catshark
Apristurus laurussonii,Cat shark
Apristurus laurussonii,Flathead cat shark
Apristurus laurussonii,Iceland cat shark
Apristurus laurussonii,Iceland catshark
Apristurus laurussonii,Madeira catshark
Apristurus laurussonii,Medeira shark
Apristurus longicephalus,Longhead cat shark
Apristurus longicephalus,Longhead catshark
Apristurus longicephalus,Smooth-belly catshark
Apristurus macrorhynchus,Flathead cat shark
Apristurus macrorhynchus,Flathead catshark
Apristurus macrostomus,Broadmouth cat shark
Apristurus manis,Ghost cat shark
Apristurus manis,Ghost catshark
Apristurus melanoasper,Black roughscale catshark
Apristurus microps,Smalleye cat shark
Apristurus microps,Smalleye catshark
Apristurus micropterygeus,Smalldorsal cat shark
Apristurus nakayai,Milk-eye catshark
Apristurus nasutus,Largenose cat shark
Apristurus nasutus,Largenose catshark
Apristurus parvipinnis,Smallfin cat shark
Apristurus parvipinnis,Smallfin catshark
Apristurus platyrhynchus,Borneo cat shark
Apristurus platyrhynchus,Borneo catshark
Apristurus platyrhynchus,Flatnose cat shark
Apristurus platyrhynchus,Spatulasnout cat shark
Apristurus platyrhynchus,Spatulasnout catshark
Apristurus profundorum,Deep-water catshark
Apristurus profundorum,Deepsea cat shark
Apristurus profundorum,Deepwater cat shark
Apristurus profundorum,Deepwater catshark
Apristurus riveri,Broadgill Catshark
Apristurus riveri,Broadgill cat shark
Apristurus saldanha,Saldanha cat shark
Apristurus saldanha,Saldanha catshark
Apristurus sibogae,Pale cat shark
Apristurus sibogae,Pale catshark
Apristurus sinensis,South China cat shark
Apristurus sinensis,South China catshark
Apristurus spongiceps,Spongehead cat shark
Apristurus spongiceps,Spongehead catshark
Apristurus stenseni,Panama ghost cat shark
Apristurus stenseni,Panama ghost catshark
Aptychotrema rostrata,Australian shovelnose ray
Aptychotrema rostrata,Banjo fish
Aptychotrema rostrata,Banks shovelnose ray
Aptychotrema rostrata,Common shovelnosed ray
Aptychotrema rostrata,East Australian shovelnose ray
Aptychotrema rostrata,Eastern shovelnose ray
Aptychotrema rostrata,Guitarfish
Aptychotrema rostrata,Long-snouted shovelnose ray
Aptychotrema rostrata,Short-snouted shovelnose ray
Aptychotrema rostrata,Shovelnose ray
Aptychotrema rostrata,Shovelnose shark
Aptychotrema rostrata,Southern shovelnose ray
Aptychotrema timorensis,Spotted shovelnose ray
Aptychotrema vincentiana,Guitarfish
Aptychotrema vincentiana,Shovelnose shark
Aptychotrema vincentiana,Southern shovelnose ray
Aptychotrema vincentiana,Western shovelnose ray
Aptychotrema vincentiana,Yellow shovelnose ray
Arhynchobatis asperrimus,Longtail skate
Arhynchobatis asperrimus,Longtailed skate
Asymbolus analis,Australian spotted catshark
Asymbolus analis,Darkspotted catshark
Asymbolus analis,Gray spotted cat shark
Asymbolus analis,Gray spotted catshark
Asymbolus analis,Spotted catshark
