venue,country,language,kind,route,likely_members,notes
Biologia Marina Mediterranea,Italy,it/en,congress notes,ask member,Chiara Gambardella; Elena; David RG,"SIBM congress volumes: 2-page proceedings notes, mostly 2000s. Chiara (Ancona) closest; SIBM back volumes partly on sibm.it"
Report of Japanese Society for Elasmobranch Studies,Japan,ja,society report,ask member,—,"Society journal; some issues scanned on J-STAGE / JSES site; no DOIs. Try JSES website first, else Japanese contact needed | track A3 2026-09-17: ROUTE CHANGED from automated. NOT ATTEMPTED (69 rows, the largest single venue in scope): no ISSN or browse code on J-STAGE resolves to this title (a 'rep' browse code found by keyword search 404s), and no JSES site or CiNii record was reached. Needs a Japanese-language site search or a direct ask to a JSES contact. | track A3b 2026-09-17: CONFIRMED no full text online at all. CiNii Research holds 230 catalogued article records with NDL bibliographic IDs, so the journal is indexed, but no record checked carries a J-STAGE id or any repository URI. jses.jp is the Japanese Society of Equine Science, an acronym collision, not this society. 69 rows: print/member only."
Cybium,France,fr/en,journal,automated,—,"Back issues free at sfi-cybium.fr (PDF per article); DOIs only from ~2010s. Scrape the SFI archive, no subscription needed | track A1 2026-09-17: CONFIRMED automated. Do NOT browse by issue (the issue pages omit short notes and the site's own volume metadata disagreed with findspot_raw); use /en/recherche-articles-cybium?last_name=<surname>, then the article node's /sites/default/files/pdfs-cybium/*.pdf. 49/61 fetched, 8 already held, 4 not found (2 are surname 'Al-Bardi', likely a transliteration mismatch)."
Journal of Ichthyology,Russia,en (translation),journal,ask member,Simon (FIU); Chris Mull,"Springer translation of Voprosy Ikhtiologii; DOIs only back to ~2000, most of ours are 1970-99 print; needs a library with the Springer backfile or ILL"
Unknown,—,—,unknown,repair metadata,—,87 rows with no venue at all; 23 are meeting abstracts by findspot; needs the findspot_raw read row by row
Journal of Vertebrate Paleontology,USA,en,meeting abstracts,abstracts project,—,"45 of 50 are SVP annual-meeting abstract supplements, not papers: move to the abstracts project"
Annales,Slovenia,en/sl,journal,automated,Elena; David RG,"Annales Series Historia Naturalis (Koper); free PDFs at zdjp.si; Adriatic elasmo notes 2000s | track A1 2026-09-17: CONFIRMED automated (zdjp.si, WordPress; one post per issue, PDFs named ASHN_<vol>-<year>-<issue>_<surname>.pdf, so filename-surname matching works where the scan has no text layer). 19/48 fetched, 7 held, 22 not found because the site-wide search is blunt; walking /p/annalesshn/page/N/ would likely recover more. WARNING: matching 'Annales' as a SUBSTRING pulls in 21 unrelated French/Belgian journals (73 rows); only journal_clean == 'Annales' is this venue."
Het Zeepaard,Netherlands,nl,society magazine,ask member,Guuske,"Strandwerkgemeenschap magazine; fossil shark teeth and beach finds; Dutch library or society archive | track A1 2026-09-17: NOT TESTED AT ALL (52 rows). The canonical publisher domain was not identified; it is Dutch, and is NOT the same society as De Strandvlo/strandwerkgroep.be. Ask Guuske for the society/website name before any further automation. | track A1b 2026-09-17: CONFIRMED no free archive -- checked natuurtijdschriften.nl's own search API directly and Het Zeepaard is not in it (unlike Afzettingen, which is). Print back-issues are sold per issue. 52 rows: ask Guuske (or the Strandwerkgemeenschap directly)."
New Mexico Museum of Natural History and Science,USA,en,museum bulletin,automated,—,"NMMNHS Bulletins are free PDFs on the museum site; fossil sharks (Lucas et al.) | track A3 2026-09-17: HOST CORRECTED (45 rows, not attempted). The content is at econtent.unm.edu, a CONTENTdm digital collection with key 'bulletins'; the museum's old /cdm4/document.php links redirect there. Needs a CONTENTdm dmwebservices API pass to map bulletin number -> item id -> PDF. High expected yield (whole-volume PDFs); track D independently ranks NMMNHS as its single highest-value grey cluster (42 more rows). | track A3b 2026-09-17: CONFIRMED automated, 37/45 downloaded, via econtent.unm.edu (CONTENTdm, collection 'bulletins'). Bulletins 1-81 ONLY -- nothing later is there. Most bulletins are compound objects whose 'pages' are individual ARTICLES matched by title; bulletins 66/67/68/71 are raw page-scans titled 'Page N' needing a probed page-number offset and a pymupdf merge; bulletin 81 is a single-PDF item, not a compound object. The extracted article PDFs have no text layer."
Tertiary Research,UK,en,journal,ask member,Cat,Tertiary Research Group (defunct 2000s); fossil shark teeth; BHL / UK library
