year,location
1916,"New York, NY"
1917,"Philadelphia, PA"
1917,"Cambridge, MA"
1918,"Brooklyn, NY"
1920,"Washington, DC"
1921,"Philadelphia, PA"
1922,"Chicago, IL"
1923,"Cambridge, MA"
1924,"Northhampton, MA"
1926,"Philadelphia, PA"
1927,"Philadelphia, PA"
1928,"Washington, DC"
1929,"Ann Arbor, MI"
1930,"New York, NY"
1931,"Philadelphia, PA"
1932,"Washington, DC"
1933,"Cambridge, MA"
1934,"New York, NY"
1935,"Pittsburgh, PA"
1936,"Ann Arbor, MI"
1937,"Washington, DC"
1938,"Berkeley, CA"
1939,"Chicago, IL"
1940,"Toronto, ON"
1941,"Gainesville, FL"
1942,"New York, NY"
1946,"Pittsburgh, PA"
1947,"Higgins Lake, MI"
1948,"New Orleans, LA"
1949,"Washington, DC"
1950,"Salt Lake City, UT"
1951,"Chicago, IL"
1952,"Austin, TX"
1953,"New York, NY"
1954,"Gainesville, FL"
1955,"San Francisco, CA"
1956,"Higgins Lake, MI"
1957,"New Orleans, LA"
1958,"Bloomington, IN"
1959,"San Diego, CA"
1960,"Chicago, IL"
1961,"Austin, TX"
1962,"Washington, DC"
1963,"Vancouver, BC"
1964,"Morehead City, NC"
1965,"Lawrence, KS"
1966,"Miami, FL"
1967,"San Francisco, CA"
1968,"Ann Arbor, MI"
1969,"New York, NY"
1970,"New Orleans, LA"
1971,"Los Angeles, CA"
1972,"Boston, MA"
1973,"San Jose, Costa Rica"
1974,"Ottawa, ON"
1975,"Williamsburg, VA"
1976,"Fairbanks, AK"
1977,"Gainesville, FL"
1978,"Tempe, AZ"
1979,"Orono, ME"
1980,"Fort Worth, TX"
1981,"Corvallis, OR"
1982,"DeKalb, IL"
1983,"Tallahasee, FL"
1984,"Norman, OK"
1985,"Knoxville, TN"
1986,"Victoria, BC"
1987,"Albany, NY"
1988,"Ann Arbor, MI"
1989,"San Francisco, CA"
1990,"Charleston, SC"
1991,"New York, NY"
1992,"Champaign-Urbana, IL"
1993,"Austin, TX"
1994,"Los Angeles, CA"
1995,"Edmonton, AB"
1996,"New Orleans, LA"
1997,"Seattle, WA"
1998,"Guelph, ON"
1999,"University Park, PA"
2000,"La Paz, Mexico"
2001,"University Park, PA"
2002,"Kansas City, MO"
2003,"Manaus, Brazil"
2004,"Norman, OK"
2005,"Tampa, FL"
2006,"New Orleans, LA"
2007,"St. Louis, MO"
2008,"Montreal, PQ"
2009,"Portland, OR"
2010,"Providence, RI"
2011,"Minneapolis, MN"
2012,"Vancouver, BC"
2013,"Albuquerque, NM"
2014,"Chattanooga, TN"
2015,"Reno, NV"
2016,"New Orleans, LA"
2017,"Austin, TX"
2018,"Rochester, NY"
2019,"Snowbird, UT"
2021,"Phoenix, AZ"
2022,"Spokane, WA"
2023,"Norfolk, VA"
2024,"Pittsburgh, PA"
2025,"St. Paul, MN"
