doi,year,authors,title,journal,has_pdf,file_path
10.1002/aqc.2769,2017,"Meyers, Eva K. M. and Tuya, Fernando and Barker, Joanna and Jiménez Alvarado, David and Castro-Hernández, José Juan and Haroun, Ricardo and Rödder, Dennis","Population structure, distribution and habitat use of the {Critically} {Endangered} {Angelshark}, {Squatina} squatina, in the {Canary} {Islands}",Aquatic Conservation: Marine and Freshwater Ecosystems,Yes,Snapshot:C\:\\Users\\david\\Zotero\\storage\\KKHWUHHJ\\aqc.html:text/html
10.1002/aqc.3857,2022,"Dodd, Jane and Baxter, John M. and Donnan, David W. and James, Benjamin D. and Lavender, Edward and McSorley, Claire A. and Mogg, Andrew O.M. and Thorburn, James A.",First report of an egg nursery for the {Critically} {Endangered} flapper skate \textit{{Dipturus} intermedius} ({Rajiformes}: {Rajidae}),Aquatic Conservation: Marine and Freshwater Ecosystems,Yes,Snapshot:C\:\\Users\\david\\Zotero\\storage\\HLJPN6GY\\aqc.html:text/html;Texto completo:C\:\\Users\\david\\Zotero\\storage\\R5KRMVZE\\Dodd et al. - 2022 - First report of an egg nursery for the Critically .pdf:application/pdf
10.1002/aqc.3920,2023,"Francis, Malcolm P. and Lyon, Warrick S. and Clarke, Shelley C. and Finucci, Brittany and Hutchinson, Melanie R. and Campana, Steven E. and Musyl, Michael K. and Schaefer, Kurt M. and Hoyle, Simon D. and Peatman, Tom and Bernal, Diego and Bigelow, Keith and Carlson, John and Coelho, Rui and Heberer, Craig and Itano, David and Jones, Emma and Leroy, Bruno and Liu, Kwang-Ming and Murua, Hilario and Poisson, François and Rogers, Paul and Sanchez, Caroline and Semba, Yasuko and Sippel, Tim and Smith, Neville",Post-release survival of shortfin mako (\textit{{Isurus} oxyrinchus}) and silky (\textit{{Carcharhinus} falciformis}) sharks released from pelagic tuna longlines in the {Pacific} {Ocean},Aquatic Conservation: Marine and Freshwater Ecosystems,Yes,Full Text PDF:C\:\\Users\\david\\Zotero\\storage\\7N3S2JIU\\Francis et al. - 2023 - Post-release survival of shortfin mako () and silk.pdf:application/pdf;Snapshot:C\:\\Users\\david\\Zotero\\storage\\77GTMZ9R\\aqc.html:text/html
10.1002/aqc.4149,2024,"Ellis, Jim R. and Gordon, Cat A. and Allen, Harriet L. and Silva, Joana F. and Bird, Christopher and Johnston, Graham and O'Connor, Bríd and McCully Phillips, Sophy R. and Hood, Ali",The distribution of the juvenile stages and eggcases of skates ({Rajidae}) around the {British} {Isles},Aquatic Conservation: Marine and Freshwater Ecosystems,Yes,Snapshot:C\:\\Users\\david\\Zotero\\storage\\3RP8MGI7\\aqc.html:text/html
10.1007/s00227-023-04349-3,2024,"Navarro, Joan and Rastgoo, Ali Reza and Giménez, Joan",Unravelling the trophic ecology of poorly studied and threatened elasmobranchs inhabiting the {Persian} {Gulf} and {Gulf} of {Oman},Marine Biology,Yes,Texto completo:C\:\\Users\\david\\Zotero\\storage\\2MIJDU5U\\Navarro et al. - 2024 - Unravelling the trophic ecology of poorly studied and threatened elasmobranchs inhabiting the Persia.pdf:application/pdf
10.1007/s10021-024-00901-4,2024,"Nauta, Janne and Leurs, Guido and Nieuwenhuis, Brian O. and Mathijssen, Donné R. A. H. and Olff, Han and Bouma, Tjeerd J. and van der Wal, Daphne and Hijner, Nadia and Regalla, Aissa and Pontes, Samuel Ledo and Govers, Laura L.",Bioturbation by {Benthic} {Stingrays} {Alters} the {Biogeomorphology} of {Tidal} {Flats},Ecosystems,Yes,Full Text PDF:C\:\\Users\\david\\Zotero\\storage\\836WTJKM\\Nauta et al. - 2024 - Bioturbation by Benthic Stingrays Alters the Bioge.pdf:application/pdf
10.1007/s11160-023-09757-8,2023,"Wosnick, Natascha and Leite, Renata Daldin and Balanin, Samuel and Chaves, Ana Paula and de Senna Gastal, Eduardo Rufino and Hauser-Davis, Rachel Ann and Giareta, Eloísa Pinheiro",Behavioral and visual stress-induced proxies in elasmobranchs,Reviews in Fish Biology and Fisheries,Yes,Full Text PDF:C\:\\Users\\david\\Zotero\\storage\\TL472KCK\\Wosnick et al. - 2023 - Behavioral and visual stress-induced proxies in el.pdf:application/pdf
10.1007/s11160-024-09857-z,2024,"Giovos, Ioannis and Pytka, Jennifer M. and Barone, Monica and Koehler, Lydia and Loth, Camille and Lowther, Jason and Moutopoulos, Dimitrios K. and Niedermüller, Simone and Mazzoldi, Carlotta","Conservation and management of chondrichthyans in the {Mediterranean} {Sea}: gaps, overlaps, inconsistencies, and the way forward",Reviews in Fish Biology and Fisheries,Yes,Full Text PDF:C\:\\Users\\david\\Zotero\\storage\\4LFREADC\\Giovos et al. - 2024 - Conservation and management of chondrichthyans in .pdf:application/pdf
10.1016/j.biocon.2023.110003,2023,"Barrowclift, Ellen and Gravel, Sarah M. and Pardo, Sebastián A. and Bigman, Jennifer S. and Berggren, Per and Dulvy, Nicholas K.",Tropical rays are intrinsically more sensitive to overfishing than the temperate skates,Biological Conservation,Yes,ScienceDirect Snapshot:C\:\\Users\\david\\Zotero\\storage\\8A79MXQA\\S0006320723001039.html:text/html;Texto completo:C\:\\Users\\david\\Zotero\\storage\\UU6CJBGH\\Barrowclift et al. - 2023 - Tropical rays are intrinsically more sensitive to .pdf:application/pdf
10.1016/j.cub.2024.05.019,2024,"Mull, Christopher G. and Pennell, Matthew W. and Yopak, Kara E. and Dulvy, Nicholas K.",Maternal investment evolves with larger body size and higher diversification rate in sharks and rays,Current Biology,Yes,Versión enviada:C\:\\Users\\david\\Zotero\\storage\\Z7MNHHF6\\Mull et al. - 2024 - Maternal investment evolves with larger body size .pdf:application/pdf
