from,to,weight
A5000002080,A5020530185,2
A5000002080,A5025205751,2
A5000002080,A5025381540,2
A5000002080,A5037511527,2
A5000002080,A5037829444,2
A5000002080,A5047896671,1
A5000002080,A5051770429,1
A5000002080,A5052539519,1
A5000002080,A5054719699,1
A5000002080,A5078993478,1
A5000002080,A5088627641,1
A5000046473,A5006066908,1
A5000046473,A5010140010,2
A5000046473,A5016729133,2
A5000046473,A5019079382,4
A5000046473,A5020881326,1
A5000046473,A5028724455,2
A5000046473,A5048288404,1
A5000046473,A5049101604,1
A5000046473,A5053898940,1
A5000046473,A5059920630,1
A5000046473,A5066868128,1
A5000046473,A5107835216,1
A5000046630,A5025933576,3
A5000046630,A5050870388,3
A5000084542,A5007801419,3
A5000084542,A5011681740,1
A5000084542,A5012275407,1
A5000084542,A5020220083,4
A5000084542,A5020353803,4
A5000084542,A5021734560,2
A5000084542,A5024972785,2
A5000084542,A5026797834,1
A5000084542,A5031516825,11
A5000084542,A5033484974,1
A5000084542,A5036305829,2
A5000084542,A5042095784,6
A5000084542,A5049923019,1
A5000084542,A5053555827,4
A5000084542,A5053871178,2
A5000084542,A5058418122,1
A5000084542,A5060590782,2
A5000084542,A5060692633,6
A5000084542,A5064266968,1
A5000084542,A5064826545,3
A5000084542,A5067190742,1
A5000084542,A5067458356,8
A5000084542,A5068283429,2
A5000084542,A5071048549,1
A5000084542,A5079542269,2
A5000084542,A5087372555,1
A5000084542,A5091431113,2
A5000084542,A5109505237,2
A5000084542,A5112370492,6
A5000084542,A5113433803,2
A5000090932,A5016397640,4
A5000090932,A5018898063,3
A5000090932,A5032101089,4
A5000090932,A5032997738,4
A5000090932,A5034424072,4
A5000090932,A5035069972,4
A5000090932,A5038981687,1
A5000090932,A5042091276,3
A5000090932,A5050275183,8
A5000090932,A5058685699,4
A5000090932,A5060163108,5
A5000090932,A5077868024,3
A5000090932,A5084584080,1
A5000090932,A5086526354,4
A5000090932,A5087416400,4
A5000090932,A5089067181,2
A5000096105,A5000112408,5
A5000096105,A5001354117,8
A5000096105,A5003580135,3
