paper_id,year,category,num_disciplines,disciplines,data_assignment_type
Rao.etal.1950.On a new caligid parasite from the Indian hammerhead shark..pdf,1950.0,DATA_cross_cutting,3,"BIO,DATA,GEN",cross_cutting
Samuel.etal.1952.new species coelomic trematode genus Staphylo from Tiger.pdf,1952.0,DATA_cross_cutting,3,"BIO,DATA,GEN",cross_cutting
"Fyfe.etal.1953.Otodistomum plunketi n. sp., a large trematode from a Lord.pdf",1953.0,DATA_cross_cutting,2,"BIO,DATA",cross_cutting
Matthews.etal.1950.Notes on the anatomy and biology of the basking shark.pdf,1950.0,DATA_cross_cutting,3,"BIO,DATA,GEN",cross_cutting
Herald.etal.1951.relative abundance sharks bat stingrays San Francisco Bay.pdf,1951.0,DATA_primary_with_others,2,"DATA,GEN",primary
Roedel.etal.1953.Official common names certain marine fishes California.pdf,1953.0,DATA_primary_with_others,2,"DATA,GEN",primary
Joseph.etal.1954.record-s thresher from southern California.pdf,1954.0,DATA_cross_cutting,3,"BIO,DATA,FISH",cross_cutting
Read.etal.1957.The role of carbohydrates in the biology of cestodes. III..pdf,1957.0,DATA_cross_cutting,2,"BIO,DATA",cross_cutting
Ingram.etal.1957.Some Tasmanian Hirudinea.pdf,1957.0,DATA_cross_cutting,3,"BIO,DATA,GEN",cross_cutting
Whitley.etal.1953.New Shark Exhibits.pdf,1953.0,DATA_primary_with_others,2,"DATA,FISH",primary
Scott.etal.1957.Observat some Tasmanian fishes Part VIII.pdf,1957.0,DATA_primary_with_others,2,"DATA,GEN",primary
Myers.etal.1959.Parasites from elasmobranch hosts from the Magdalen Islands.pdf,1959.0,DATA_cross_cutting,2,"BIO,DATA",cross_cutting
"Laird.etal.1959.Caliperia brevipes n. sp. (Ciliata Peritricha), epizoic on.pdf",1959.0,DATA_cross_cutting,3,"BIO,DATA,GEN",cross_cutting
Read.etal.1959.Urea and osmotic properties of tapeworms from elasmobranchs..pdf,1959.0,DATA_cross_cutting,2,"BIO,DATA",cross_cutting
Williams.etal.1959.The anatomy of Phyllobothrium sinuosiceps sp.nov. (Cestoda.pdf,1959.0,DATA_cross_cutting,3,"BIO,DATA,GEN",cross_cutting
Kulczycki.etal.1957.Upper Devonian fishes from Holy Cross Mountains Poland.pdf,1957.0,DATA_cross_cutting,3,"FISH,DATA,GEN",cross_cutting
Llewellyn.etal.1960.Amphibde Monogenean parasites electric rays Torpedin.pdf,1960.0,DATA_cross_cutting,3,"BIO,DATA,GEN",cross_cutting
Nagaty.etal.1961.Trematodes Fishes from Red Sea Part 9 Six New Anaporrh.pdf,1961.0,DATA_cross_cutting,2,"BIO,DATA",cross_cutting
Williams.etal.1961.Observations of Echeneibothrium maculatum (Cestoda.pdf,1961.0,DATA_cross_cutting,3,"BIO,DATA,GEN",cross_cutting
Scott.etal.1961.Observat some Tasmanian fishes Part X.pdf,1961.0,DATA_cross_cutting,3,"FISH,DATA,GEN",cross_cutting
Coupland.etal.1962.The taxonomy of monogenean gill parasites from Scyliorhinus.pdf,1962.0,DATA_cross_cutting,2,"BIO,DATA",cross_cutting
Williams.etal.1962.Acanthobothrium sp. nov. (Cestoda Tetraphyllidea) and a.pdf,1962.0,DATA_cross_cutting,2,"BIO,DATA",cross_cutting
Libby.etal.1960.Reproduction in the clear nosed skate Raja eglanteria.pdf,1960.0,DATA_cross_cutting,4,"BEH,DATA,BIO,GEN",cross_cutting
Kearn.etal.1963.Feeding some monogenean skin parasites Entobdella soleae.pdf,1963.0,DATA_cross_cutting,3,"BIO,DATA,GEN",cross_cutting
Millemann.etal.1963.Studies taxonomy life history echinoce worms Nematoda.pdf,1963.0,DATA_cross_cutting,2,"BIO,DATA",cross_cutting
"Saoud.etal.1963.On a new cestode, Anthobothrium taeniuri n. sp.,.pdf",1963.0,DATA_cross_cutting,3,"BIO,DATA,GEN",cross_cutting
Silas.etal.1963.recent capture whale shark Rhincodon typus Smith Tuticorin.pdf,1963.0,DATA_cross_cutting,2,"BIO,DATA",cross_cutting
