country,disciplines,count,total_in_country,proportion
Argentina,BIO,2,11,0.18181818181818182
Argentina,DATA,4,11,0.36363636363636365
Argentina,FISH,1,11,0.09090909090909091
Argentina,GEN,3,11,0.2727272727272727
Argentina,MOV,1,11,0.09090909090909091
Australia,BEH,66,2191,0.030123231401186674
Australia,BIO,259,2191,0.1182108626198083
Australia,CON,135,2191,0.061615700593336376
Australia,DATA,644,2191,0.2939297124600639
Australia,FISH,194,2191,0.0885440438156093
Australia,GEN,514,2191,0.2345960748516659
Australia,MOV,219,2191,0.09995435874030123
Australia,TRO,160,2191,0.0730260155180283
Austria,BIO,14,69,0.2028985507246377
Austria,CON,1,69,0.014492753623188406
Austria,DATA,22,69,0.3188405797101449
Austria,FISH,4,69,0.057971014492753624
Austria,GEN,20,69,0.2898550724637681
Austria,MOV,4,69,0.057971014492753624
Austria,TRO,4,69,0.057971014492753624
Bangladesh,BIO,4,44,0.09090909090909091
Bangladesh,CON,5,44,0.11363636363636363
Bangladesh,DATA,12,44,0.2727272727272727
Bangladesh,FISH,7,44,0.1590909090909091
Bangladesh,GEN,10,44,0.22727272727272727
Bangladesh,MOV,5,44,0.11363636363636363
Bangladesh,TRO,1,44,0.022727272727272728
Belgium,BEH,2,60,0.03333333333333333
Belgium,BIO,4,60,0.06666666666666667
Belgium,CON,1,60,0.016666666666666666
Belgium,DATA,18,60,0.3
Belgium,FISH,5,60,0.08333333333333333
Belgium,GEN,16,60,0.26666666666666666
Belgium,MOV,7,60,0.11666666666666667
Belgium,TRO,7,60,0.11666666666666667
Belize,CON,1,4,0.25
Belize,DATA,1,4,0.25
Belize,GEN,1,4,0.25
Belize,TRO,1,4,0.25
Brazil,BEH,5,136,0.03676470588235294
Brazil,BIO,15,136,0.11029411764705882
Brazil,CON,9,136,0.0661764705882353
Brazil,DATA,39,136,0.2867647058823529
Brazil,FISH,11,136,0.08088235294117647
Brazil,GEN,32,136,0.23529411764705882
Brazil,MOV,13,136,0.09558823529411764
Brazil,TRO,12,136,0.08823529411764706
