primary_discipline,technique_name,paper_count,first_year,last_year,years_active,recent_papers,recent_years,historical_papers,historical_years,recent_avg_per_year,historical_avg_per_year,growth_ratio,classification,full_name
BEH,Video Analysis,108,1993,2024,25,45,5,63,20,9,3.15,2.857142857142857,EMERGING,Behaviour
BEH,BORIS,56,1983,2025,24,17,6,39,18,2.8333333333333335,2.1666666666666665,1.307692307692308,STABLE,Behaviour
BEH,Social Network Analysis,48,1982,2025,15,25,6,23,9,4.166666666666667,2.5555555555555554,1.6304347826086958,STABLE,Behaviour
BEH,Dominance hierarchy,31,1982,2025,22,8,6,23,16,1.3333333333333333,1.4375,0.9275362318840579,STABLE,Behaviour
BEH,Operant Conditioning,25,1960,2023,18,6,4,19,14,1.5,1.3571428571428572,1.1052631578947367,STABLE,Behaviour
BEH,Learning Experiments,9,2009,2020,6,1,1,8,5,1,1.6,0.625,STABLE,Behaviour
BEH,Behavioural Observation,7,2007,2024,7,3,3,4,4,1,1,1,STABLE,Behaviour
BEH,Focal Sampling,3,2014,2021,2,2,1,1,1,2,1,2,RARE,Behaviour
BEH,Scan Sampling,2,2017,2021,2,1,1,1,1,1,1,1,RARE,Behaviour
BEH,Ethogram Development,1,2024,2024,1,1,1,0,0,1,0,999,NEW,Behaviour
BIO,Parasitology,926,1950,2025,69,185,6,741,63,30.833333333333332,11.761904761904763,2.621457489878542,EMERGING,Biology
BIO,Morphometrics,572,1968,2025,42,188,6,384,36,31.333333333333332,10.666666666666666,2.9375,EMERGING,Biology
BIO,Metabolic Rate,553,1950,2025,51,142,6,411,45,23.666666666666668,9.133333333333333,2.591240875912409,EMERGING,Biology
BIO,Body Measurements,98,1954,2025,42,33,6,65,36,5.5,1.8055555555555556,3.046153846153846,EMERGING,Biology
BIO,Maturity Ogive,80,2000,2024,23,20,5,60,18,4,3.3333333333333335,1.2,STABLE,Biology
BIO,Length-Frequency Analysis,19,1975,2022,15,1,1,18,14,1,1.2857142857142858,0.7777777777777777,STABLE,Biology
BIO,Natural Mortality Estimators,18,2015,2023,9,8,4,10,5,2,2,1,STABLE,Biology
BIO,Reproductive observations,9,2007,2022,7,2,2,7,5,1,1.4,0.7142857142857143,STABLE,Biology
BIO,Fecundity Estimation,7,2001,2020,7,1,1,6,6,1,1,1,STABLE,Biology
BIO,Health Indices,2,2012,2020,2,1,1,1,1,1,1,1,RARE,Biology
BIO,Telomere Analysis,1,2021,2021,1,1,1,0,0,1,0,999,RARE,Biology
CON,Tourism,775,1981,2025,34,315,6,460,28,52.5,16.428571428571427,3.195652173913044,EMERGING,Conservation
CON,Vulnerability Assessment,49,2009,2025,15,28,6,21,9,4.666666666666667,2.3333333333333335,2,STABLE,Conservation
CON,IUCN Red List Assessment,44,2006,2024,16,19,4,25,12,4.75,2.0833333333333335,2.28,EMERGING,Conservation
CON,Stakeholder Engagement,19,2013,2025,9,12,5,7,4,2.4,1.75,1.3714285714285714,STABLE,Conservation
CON,MPA Effectiveness,12,2012,2025,7,7,4,5,3,1.75,1.6666666666666667,1.05,STABLE,Conservation
CON,Contingent Valuation,9,2007,2023,7,2,2,7,5,1,1.4,0.7142857142857143,STABLE,Conservation
CON,Policy Evaluation,4,2012,2020,4,1,1,3,3,1,1,1,RARE,Conservation
CON,Socioeconomic Analysis,2,2014,2022,2,1,1,1,1,1,1,1,RARE,Conservation
CON,Education & Outreach,1,2009,2009,1,0,0,1,1,0,1,0,RARE,Conservation
DATA,Time Series,690,1969,2025,38,216,6,474,32,36,14.8125,2.430379746835443,EMERGING,Data Science
DATA,GLM,410,1967,2025,32,97,6,313,26,16.166666666666668,12.038461538461538,1.3429179978700747,STABLE,Data Science
DATA,Meta-Analysis,394,1998,2025,25,180,6,214,19,30,11.263157894736842,2.663551401869159,EMERGING,Data Science
DATA,GAM,190,1951,2025,31,85,6,105,25,14.166666666666666,4.2,3.3730158730158726,EMERGING,Data Science
DATA,Markov Chain Monte Carlo,185,2006,2025,20,60,6,125,14,10,8.928571428571429,1.1199999999999999,STABLE,Data Science
DATA,Cross-Validation,141,2001,2025,21,66,6,75,15,11,5,2.2,EMERGING,Data Science
DATA,Machine Learning,97,2012,2025,13,68,6,29,7,11.333333333333334,4.142857142857143,2.735632183908046,EMERGING,Data Science
DATA,GAMM,85,2009,2025,15,48,6,37,9,8,4.111111111111111,1.945945945945946,STABLE,Data Science
DATA,Neural Networks,51,1973,2025,19,27,6,24,13,4.5,1.8461538461538463,2.4375,EMERGING,Data Science
DATA,Bayesian Methods,44,2006,2025,18,18,6,26,12,3,2.1666666666666665,1.3846153846153848,STABLE,Data Science
DATA,Random Forest,37,2013,2025,13,24,6,13,7,4,1.8571428571428572,2.1538461538461537,EMERGING,Data Science
DATA,ARIMA,24,1978,2023,18,6,3,18,15,2,1.2,1.6666666666666667,STABLE,Data Science
DATA,Data Integration,21,2013,2025,12,12,6,9,6,2,1.5,1.3333333333333333,STABLE,Data Science
DATA,Computer Vision,18,1982,2024,11,11,4,7,7,2.75,1,2.75,EMERGING,Data Science
DATA,INLA,18,2008,2025,10,8,4,10,6,2,1.6666666666666667,1.2,STABLE,Data Science
DATA,Deep Learning,17,2018,2025,7,15,5,2,2,3,1,3,EMERGING,Data Science
DATA,Approximate Bayesian Computation,14,2012,2022,9,5,2,9,7,2.5,1.2857142857142858,1.9444444444444442,STABLE,Data Science
DATA,Support Vector Machines,6,2018,2024,4,4,2,2,2,2,1,2,STABLE,Data Science
