primary_discipline,full_name,technique_name,year,paper_count,total_mentions
BEH,Behaviour,BORIS,1983,1,4
BEH,Behaviour,BORIS,1989,1,2
BEH,Behaviour,BORIS,2001,1,4
BEH,Behaviour,BORIS,2003,1,3
BEH,Behaviour,BORIS,2004,1,3
BEH,Behaviour,BORIS,2007,1,3
BEH,Behaviour,BORIS,2008,2,9
BEH,Behaviour,BORIS,2009,2,9
BEH,Behaviour,BORIS,2010,3,14
BEH,Behaviour,BORIS,2011,1,4
BEH,Behaviour,BORIS,2012,1,2
BEH,Behaviour,BORIS,2013,3,40
BEH,Behaviour,BORIS,2014,5,17
BEH,Behaviour,BORIS,2015,2,14
BEH,Behaviour,BORIS,2016,4,17
BEH,Behaviour,BORIS,2017,1,3
BEH,Behaviour,BORIS,2018,3,18
BEH,Behaviour,BORIS,2019,6,48
BEH,Behaviour,BORIS,2020,1,4
BEH,Behaviour,BORIS,2021,4,29
BEH,Behaviour,BORIS,2022,7,61
BEH,Behaviour,BORIS,2023,1,3
BEH,Behaviour,BORIS,2024,2,34
BEH,Behaviour,BORIS,2025,2,16
BEH,Behaviour,Behavioural Observation,2007,1,4
BEH,Behaviour,Behavioural Observation,2010,1,3
BEH,Behaviour,Behavioural Observation,2012,1,4
BEH,Behaviour,Behavioural Observation,2017,1,2
BEH,Behaviour,Behavioural Observation,2020,1,4
BEH,Behaviour,Behavioural Observation,2023,1,6
BEH,Behaviour,Behavioural Observation,2024,1,5
BEH,Behaviour,Dominance hierarchy,1982,1,8
BEH,Behaviour,Dominance hierarchy,1985,1,6
BEH,Behaviour,Dominance hierarchy,1991,1,12
BEH,Behaviour,Dominance hierarchy,1993,1,10
BEH,Behaviour,Dominance hierarchy,2001,2,14
BEH,Behaviour,Dominance hierarchy,2006,1,4
BEH,Behaviour,Dominance hierarchy,2009,1,3
BEH,Behaviour,Dominance hierarchy,2010,1,3
BEH,Behaviour,Dominance hierarchy,2011,1,4
BEH,Behaviour,Dominance hierarchy,2012,2,18
BEH,Behaviour,Dominance hierarchy,2013,1,3
BEH,Behaviour,Dominance hierarchy,2014,1,3
BEH,Behaviour,Dominance hierarchy,2015,3,13
BEH,Behaviour,Dominance hierarchy,2016,1,3
BEH,Behaviour,Dominance hierarchy,2018,4,54
BEH,Behaviour,Dominance hierarchy,2019,1,5
BEH,Behaviour,Dominance hierarchy,2020,1,4
BEH,Behaviour,Dominance hierarchy,2021,1,65
BEH,Behaviour,Dominance hierarchy,2022,1,2
BEH,Behaviour,Dominance hierarchy,2023,2,39
BEH,Behaviour,Dominance hierarchy,2024,2,12
BEH,Behaviour,Dominance hierarchy,2025,1,5
BEH,Behaviour,Ethogram Development,2024,1,4
BEH,Behaviour,Focal Sampling,2014,1,4
BEH,Behaviour,Focal Sampling,2021,2,16
BEH,Behaviour,Learning Experiments,2009,1,18
BEH,Behaviour,Learning Experiments,2010,1,4
BEH,Behaviour,Learning Experiments,2014,1,6
BEH,Behaviour,Learning Experiments,2015,2,7
BEH,Behaviour,Learning Experiments,2018,3,19
BEH,Behaviour,Learning Experiments,2020,1,10
BEH,Behaviour,Operant Conditioning,1960,1,4
BEH,Behaviour,Operant Conditioning,1981,1,6
BEH,Behaviour,Operant Conditioning,1984,1,2
BEH,Behaviour,Operant Conditioning,1988,1,4
BEH,Behaviour,Operant Conditioning,1993,1,15
BEH,Behaviour,Operant Conditioning,2006,1,3
BEH,Behaviour,Operant Conditioning,2009,1,36
BEH,Behaviour,Operant Conditioning,2010,1,3
BEH,Behaviour,Operant Conditioning,2011,1,7
BEH,Behaviour,Operant Conditioning,2012,1,6
BEH,Behaviour,Operant Conditioning,2013,3,13
BEH,Behaviour,Operant Conditioning,2014,2,12
BEH,Behaviour,Operant Conditioning,2015,1,8
BEH,Behaviour,Operant Conditioning,2018,3,24
BEH,Behaviour,Operant Conditioning,2020,1,3
BEH,Behaviour,Operant Conditioning,2021,1,7
BEH,Behaviour,Operant Conditioning,2022,2,13
BEH,Behaviour,Operant Conditioning,2023,2,12
BEH,Behaviour,Scan Sampling,2017,1,3
BEH,Behaviour,Scan Sampling,2021,1,8
BEH,Behaviour,Social Network Analysis,1982,1,7
BEH,Behaviour,Social Network Analysis,2010,3,25
BEH,Behaviour,Social Network Analysis,2012,4,51
BEH,Behaviour,Social Network Analysis,2014,2,57
BEH,Behaviour,Social Network Analysis,2015,2,8
BEH,Behaviour,Social Network Analysis,2016,2,25
BEH,Behaviour,Social Network Analysis,2017,2,24
BEH,Behaviour,Social Network Analysis,2018,3,14
BEH,Behaviour,Social Network Analysis,2019,4,28
BEH,Behaviour,Social Network Analysis,2020,4,21
BEH,Behaviour,Social Network Analysis,2021,7,119
BEH,Behaviour,Social Network Analysis,2022,1,75
BEH,Behaviour,Social Network Analysis,2023,4,50
BEH,Behaviour,Social Network Analysis,2024,4,43
BEH,Behaviour,Social Network Analysis,2025,5,37
BEH,Behaviour,Video Analysis,1993,1,3
BEH,Behaviour,Video Analysis,1994,1,3
BEH,Behaviour,Video Analysis,1995,1,3
BEH,Behaviour,Video Analysis,1997,1,8
BEH,Behaviour,Video Analysis,2000,1,2
BEH,Behaviour,Video Analysis,2003,2,5
BEH,Behaviour,Video Analysis,2005,1,3
BEH,Behaviour,Video Analysis,2007,1,4
BEH,Behaviour,Video Analysis,2008,1,3
BEH,Behaviour,Video Analysis,2009,3,14
BEH,Behaviour,Video Analysis,2010,1,3
BEH,Behaviour,Video Analysis,2011,2,7
BEH,Behaviour,Video Analysis,2012,3,13
BEH,Behaviour,Video Analysis,2013,3,18
BEH,Behaviour,Video Analysis,2014,8,48
BEH,Behaviour,Video Analysis,2015,7,28
BEH,Behaviour,Video Analysis,2016,3,14
BEH,Behaviour,Video Analysis,2017,5,25
BEH,Behaviour,Video Analysis,2018,9,36
BEH,Behaviour,Video Analysis,2019,9,103
BEH,Behaviour,Video Analysis,2020,12,87
BEH,Behaviour,Video Analysis,2021,7,33
BEH,Behaviour,Video Analysis,2022,14,109
BEH,Behaviour,Video Analysis,2023,6,34
BEH,Behaviour,Video Analysis,2024,6,39
BIO,Biology,Body Measurements,1954,1,6
BIO,Biology,Body Measurements,1963,1,2
BIO,Biology,Body Measurements,1965,1,3
BIO,Biology,Body Measurements,1968,1,2
BIO,Biology,Body Measurements,1972,2,5
BIO,Biology,Body Measurements,1973,1,4
BIO,Biology,Body Measurements,1976,1,4
BIO,Biology,Body Measurements,1977,1,2
BIO,Biology,Body Measurements,1978,1,3
BIO,Biology,Body Measurements,1983,2,8
BIO,Biology,Body Measurements,1984,1,2
BIO,Biology,Body Measurements,1985,2,5
BIO,Biology,Body Measurements,1986,1,2
BIO,Biology,Body Measurements,1988,1,2
BIO,Biology,Body Measurements,1989,1,2
BIO,Biology,Body Measurements,1990,1,9
BIO,Biology,Body Measurements,1991,1,3
BIO,Biology,Body Measurements,1997,2,9
BIO,Biology,Body Measurements,1999,1,4
BIO,Biology,Body Measurements,2000,1,4
BIO,Biology,Body Measurements,2001,1,4
BIO,Biology,Body Measurements,2005,3,8
BIO,Biology,Body Measurements,2006,1,7
BIO,Biology,Body Measurements,2007,1,3
BIO,Biology,Body Measurements,2008,2,6
BIO,Biology,Body Measurements,2009,2,9
BIO,Biology,Body Measurements,2010,3,15
BIO,Biology,Body Measurements,2011,1,4
BIO,Biology,Body Measurements,2012,2,11
BIO,Biology,Body Measurements,2013,1,2
BIO,Biology,Body Measurements,2014,1,9
BIO,Biology,Body Measurements,2015,5,20
BIO,Biology,Body Measurements,2016,8,25
BIO,Biology,Body Measurements,2017,2,13
BIO,Biology,Body Measurements,2018,4,29
BIO,Biology,Body Measurements,2019,4,13
BIO,Biology,Body Measurements,2020,7,37
BIO,Biology,Body Measurements,2021,4,17
BIO,Biology,Body Measurements,2022,6,25
BIO,Biology,Body Measurements,2023,5,22
BIO,Biology,Body Measurements,2024,8,32
BIO,Biology,Body Measurements,2025,3,9
BIO,Biology,Fecundity Estimation,2001,1,5
BIO,Biology,Fecundity Estimation,2006,1,5
BIO,Biology,Fecundity Estimation,2008,1,6
BIO,Biology,Fecundity Estimation,2009,1,6
BIO,Biology,Fecundity Estimation,2013,1,4
BIO,Biology,Fecundity Estimation,2014,1,9
BIO,Biology,Fecundity Estimation,2020,1,3
BIO,Biology,Health Indices,2012,1,4
BIO,Biology,Health Indices,2020,1,12
BIO,Biology,Length-Frequency Analysis,1975,1,3
BIO,Biology,Length-Frequency Analysis,1977,1,2
BIO,Biology,Length-Frequency Analysis,1982,1,3
BIO,Biology,Length-Frequency Analysis,1983,1,12
BIO,Biology,Length-Frequency Analysis,1992,3,10
BIO,Biology,Length-Frequency Analysis,1997,1,3
BIO,Biology,Length-Frequency Analysis,1998,1,2
BIO,Biology,Length-Frequency Analysis,2001,1,4
BIO,Biology,Length-Frequency Analysis,2006,1,3
BIO,Biology,Length-Frequency Analysis,2010,1,4
BIO,Biology,Length-Frequency Analysis,2011,2,36
BIO,Biology,Length-Frequency Analysis,2014,1,5
BIO,Biology,Length-Frequency Analysis,2015,1,3
BIO,Biology,Length-Frequency Analysis,2016,2,7
BIO,Biology,Length-Frequency Analysis,2022,1,4
BIO,Biology,Maturity Ogive,2000,1,8
BIO,Biology,Maturity Ogive,2001,1,4
BIO,Biology,Maturity Ogive,2002,1,3
BIO,Biology,Maturity Ogive,2005,4,23
BIO,Biology,Maturity Ogive,2006,3,33
BIO,Biology,Maturity Ogive,2007,3,52
BIO,Biology,Maturity Ogive,2008,2,5
BIO,Biology,Maturity Ogive,2009,4,19
BIO,Biology,Maturity Ogive,2010,2,12
BIO,Biology,Maturity Ogive,2011,5,35
BIO,Biology,Maturity Ogive,2012,4,32
BIO,Biology,Maturity Ogive,2013,4,70
BIO,Biology,Maturity Ogive,2014,3,17
BIO,Biology,Maturity Ogive,2015,6,37
BIO,Biology,Maturity Ogive,2016,7,50
