alias_id,canonical_id,decided_on,note
A5102783387,A5031309288,2026-04-17,user-skip: RW Chan | different
A5023355854,A5029656510,2026-04-17,user-skip: J. K. Solanki | NA
A5081247115,A5075874404,2026-04-17,user-skip: P. S. Schaffer | NA
A5024754918,A5036390677,2026-04-17,user-skip: G. K. Jones | NA
A5089666132,A5066543637,2026-04-17,user-skip: AD Wood | NA
A5111740338,A5074274156,2026-04-17,user-skip: BL Taylor | NA
A5078874669,A5007640855,2026-04-17,user-skip: KM Newton | SKIP
A5102297578,A5049019549,2026-04-17,user-skip: SK Lynch | NA
A5111986642,A5105416420,2026-04-17,user-skip: S. M. Jones | NA
A5010124330,A5032202893,2026-04-17,user-skip: REX S. WILLIAMS | NA
A5109995350,A5001067683,2026-04-17,user-skip: RMG Wells | NA
A5038528280,A5063470604,2026-04-17,user-skip: DD Reid | NA
A5112040083,A5036802114,2026-04-17,user-skip: RG Edwards | NA
A5111705177,A5039951504,2026-04-17,user-skip: DL. Viana | NA
A5102297579,A5056095248,2026-04-17,user-skip: LM Harrison | NA
A5112364572,A5109947782,2026-04-17,user-skip: LM Brown | NA
A5014993256,A5108513172,2026-04-17,user-skip: M A Horton | NA
A5110274074,A5014307550,2026-04-17,user-skip: S.R. May | NA
A5108860145,A5008488452,2026-04-17,user-skip: HD Patel | NA
A5073740029,A5078621861,2026-04-17,user-skip: RA Saunders | NA
A5108831577,A5005498936,2026-04-17,user-skip: GB Sreekanth | NA
A5108684329,A5066543637,2026-04-17,user-skip: A.D. Wood | NA
A5110212237,A5105368013,2026-04-17,user-skip: STAN Wood | NA
A5082217688,A5056603621,2026-04-17,user-skip: S.B Kim | NA
A5103460185,A5053595234,2026-04-17,user-skip: MFL Smith | NA
A5112244880,A5037625435,2026-04-17,user-skip: JACK Harris | NA
A5111375392,A5037590677,2026-04-17,user-skip: DC Miller | NA
A5029984381,A5003776103,2026-04-17,user-skip: M.J.F. Lima | NA
A5088585740,A5047775908,2026-04-17,user-skip: M. R. R. Silva | NA
A5023789045,A5101425453,2026-04-17,user-skip: JG Taylor | NA
A5108237043,A5038767811,2026-04-17,user-skip: SNP Wong | NA
A5102149432,A5024632001,2026-04-17,user-skip: ET Anderson | NA
A5013152907,A5079112900,2026-04-17,user-skip: D. I. Fraser | NA
A5038556533,A5041789762,2026-04-17,user-skip: J. E. Green | NA
A5039802635,A5041789762,2026-04-17,user-skip: J. E. Green | NA
A5003606843,A5041789762,2026-04-17,user-skip: J. E. Green | NA
A5084901559,A5102003481,2026-04-17,user-skip: A. C. Smith | NA
A5084686172,A5088366186,2026-04-17,user-skip: MZ Ahmed | NA
A5081119786,A5074008561,2026-04-17,user-skip: J.P. Joss | NA
A5111971403,A5032347433,2026-04-17,user-skip: S. A. Harris | NA
A5017350681,A5111680546,2026-04-17,user-skip: RH Bennett | NA
A5048208969,A5026015928,2026-04-17,user-skip: R G Gonzalez | NA
A5036406132,A5019885297,2026-04-17,user-skip: A.M. González | NA
A5104185700,A5056110175,2026-04-17,user-skip: CAL C. JOHNSON | NA
A5108080054,A5062605761,2026-04-17,user-skip: ACF. Lacerda | NA
A5104230208,A5062821173,2026-04-17,user-skip: AHH Macdonald | NA
A5024930802,A5017409339,2026-04-17,user-skip: AA Masson | NA
A5050367435,A5103260137,2026-04-17,user-skip: M. W. McManus | NA
A5108415173,A5085030272,2026-04-17,user-skip: JM Newman | NA
A5103473211,A5111846232,2026-04-17,user-skip: R. W. G. White | NA
A5111174837,A5025503493,2026-04-17,user-skip: RE Young | NA
A5109099779,A5023214812,2026-04-17,user-skip: MS Hale | distinct
A5023710824,A5081861517,2026-04-17,user-skip: J.L. Silva | distinct
A5075847119,A5023486056,2026-04-17,user-skip: CG Pollock | distinct
A5020830605,A5052958641,2026-04-17,user-skip: CT Peterson | distinct
A5110238701,A5113817766,2026-04-17,user-skip: RC Jones | distinct
A5110357426,A5053959716,2026-04-17,user-skip: JACC Nunes | distinct
A5044893916,A5020220083,2026-04-17,user-skip: HJ Campbell | distinct
A5009444656,A5062510568,2026-04-17,user-skip: J. S. Park | distinct
A5076813242,A5035965129,2026-04-17,user-skip: MAM Pereira | distinct
A5112289693,A5019299931,2026-04-17,user-skip: MG Allen | distinct
A5058211836,A5037625435,2026-04-17,user-skip: JM Harris | distinct
