paper_id,first_author,year,title,has_etal
Rao.etal.1950.On a new caligid parasite from the Indian hammerhead shark..pdf,Rao,1950,On a new caligid parasite from the Indian hammerhead shark,True
Samuel.etal.1952.new species coelomic trematode genus Staphylo from Tiger.pdf,Samuel,1952,new species coelomic trematode genus Staphylo from Tiger,True
"Fyfe.etal.1953.Otodistomum plunketi n. sp., a large trematode from a Lord.pdf",Fyfe,1953,"Otodistomum plunketi n  sp , a large trematode from a Lord",True
Matthews.etal.1950.Notes on the anatomy and biology of the basking shark.pdf,Matthews,1950,Notes on the anatomy and biology of the basking shark,True
Herald.etal.1951.relative abundance sharks bat stingrays San Francisco Bay.pdf,Herald,1951,relative abundance sharks bat stingrays San Francisco Bay,True
Joseph.etal.1954.record-s thresher from southern California.pdf,Joseph,1954,record-s thresher from southern California,True
Roedel.etal.1953.Official common names certain marine fishes California.pdf,Roedel,1953,Official common names certain marine fishes California,True
Ingram.etal.1957.Some Tasmanian Hirudinea.pdf,Ingram,1957,Some Tasmanian Hirudinea,True
Read.etal.1957.The role of carbohydrates in the biology of cestodes. III..pdf,Read,1957,The role of carbohydrates in the biology of cestodes  III,True
Scott.etal.1957.Observat some Tasmanian fishes Part VIII.pdf,Scott,1957,Observat some Tasmanian fishes Part VIII,True
Whitley.etal.1953.New Shark Exhibits.pdf,Whitley,1953,New Shark Exhibits,True
Myers.etal.1959.Parasites from elasmobranch hosts from the Magdalen Islands.pdf,Myers,1959,Parasites from elasmobranch hosts from the Magdalen Islands,True
"Laird.etal.1959.Caliperia brevipes n. sp. (Ciliata Peritricha), epizoic on.pdf",Laird,1959,"Caliperia brevipes n  sp  (Ciliata Peritricha), epizoic on",True
Read.etal.1959.Urea and osmotic properties of tapeworms from elasmobranchs..pdf,Read,1959,Urea and osmotic properties of tapeworms from elasmobranchs,True
Williams.etal.1959.The anatomy of Phyllobothrium sinuosiceps sp.nov. (Cestoda.pdf,Williams,1959,The anatomy of Phyllobothrium sinuosiceps sp nov  (Cestoda,True
Kulczycki.etal.1957.Upper Devonian fishes from Holy Cross Mountains Poland.pdf,Kulczycki,1957,Upper Devonian fishes from Holy Cross Mountains Poland,True
Llewellyn.etal.1960.Amphibde Monogenean parasites electric rays Torpedin.pdf,Llewellyn,1960,Amphibde Monogenean parasites electric rays Torpedin,True
Nagaty.etal.1961.Trematodes Fishes from Red Sea Part 9 Six New Anaporrh.pdf,Nagaty,1961,Trematodes Fishes from Red Sea Part 9 Six New Anaporrh,True
Scott.etal.1961.Observat some Tasmanian fishes Part X.pdf,Scott,1961,Observat some Tasmanian fishes Part X,True
Williams.etal.1961.Observations of Echeneibothrium maculatum (Cestoda.pdf,Williams,1961,Observations of Echeneibothrium maculatum (Cestoda,True
Coupland.etal.1962.The taxonomy of monogenean gill parasites from Scyliorhinus.pdf,Coupland,1962,The taxonomy of monogenean gill parasites from Scyliorhinus,True
Williams.etal.1962.Acanthobothrium sp. nov. (Cestoda Tetraphyllidea) and a.pdf,Williams,1962,Acanthobothrium sp  nov  (Cestoda Tetraphyllidea) and a,True
Libby.etal.1960.Reproduction in the clear nosed skate Raja eglanteria.pdf,Libby,1960,Reproduction in the clear nosed skate Raja eglanteria,True
Kearn.etal.1963.Feeding some monogenean skin parasites Entobdella soleae.pdf,Kearn,1963,Feeding some monogenean skin parasites Entobdella soleae,True
"Saoud.etal.1963.On a new cestode, Anthobothrium taeniuri n. sp.,.pdf",Saoud,1963,"On a new cestode, Anthobothrium taeniuri n  sp ,",True
Millemann.etal.1963.Studies taxonomy life history echinoce worms Nematoda.pdf,Millemann,1963,Studies taxonomy life history echinoce worms Nematoda,True
Silas.etal.1963.recent capture whale shark Rhincodon typus Smith Tuticorin.pdf,Silas,1963,recent capture whale shark Rhincodon typus Smith Tuticorin,True
Stanley.etal.1963.Urogenital morphology chimaeroid fish Hydrolagus colliei.pdf,Stanley,1963,Urogenital morphology chimaeroid fish Hydrolagus colliei,True
Williams.etal.1964.Some new and little known cestodes from Australian.pdf,Williams,1964,Some new and little known cestodes from Australian,True
Gotshall.etal.1965.Sleeper sharks Somniosus pacificus off Trinidad California.pdf,Gotshall,1965,Sleeper sharks Somniosus pacificus off Trinidad California,True
"Goldstein.etal.1966.Note on the Incidence of a Marine Leech, Branchellion.pdf",Goldstein,1966,"Note on the Incidence of a Marine Leech, Branchellion",True
"Williams.etal.1966.The ecology, functional morphology and taxonomy of.pdf",Williams,1966,"The ecology, functional morphology and taxonomy of",True
Gottfried.etal.1967.seminal steroids dogfish Scyllior stellaris.pdf,Gottfried,1967,seminal steroids dogfish Scyllior stellaris,True
Kearn.etal.1967.The life-cycles and larval development of some.pdf,Kearn,1967,The life-cycles and larval development of some,True
Piiper.etal.1967.Efficiency O2 exchange gills dogfish Scyliorh stellaris.pdf,Piiper,1967,Efficiency O2 exchange gills dogfish Scyliorh stellaris,True
Sawyer.etal.1967.Characterization of a principle resembling oxytocin in the.pdf,Sawyer,1967,Characterization of a principle resembling oxytocin in the,True
Young.etal.1967.A taxonomic revision of the subfamilies Monocotylinae.pdf,Young,1967,A taxonomic revision of the subfamilies Monocotylinae,True
Wallace.etal.1967.batoid fishes east coast Southern Africa Part III Skates.pdf,Wallace,1967,batoid fishes east coast Southern Africa Part III Skates,True
"Dienske.etal.1968.A survey of the metazoan parasites of the rabbit-fish,.pdf",Dienske,1968,"A survey of the metazoan parasites of the rabbit-fish,",True
"Kearn.etal.1968.The larval development of Merizocotyle sp., a monocotylid.pdf",Kearn,1968,"The larval development of Merizocotyle sp , a monocotylid",True
Piiper.etal.1968.Effectiv O2 CO2 exchange gills dogfish Scyliorh stellaris.pdf,Piiper,1968,Effectiv O2 CO2 exchange gills dogfish Scyliorh stellaris,True
Scott.etal.1968.Occurrence Pelagic Stingray Dasyatis violacea Northwest.pdf,Scott,1968,Occurrence Pelagic Stingray Dasyatis violacea Northwest,True
Williams.etal.1968.Phyllobo piriei sp nov Cestoda Tetraphy from Raja naevus.pdf,Williams,1968,Phyllobo piriei sp nov Cestoda Tetraphy from Raja naevus,True
Pillai.etal.1968.Additions copepod parasites South Indian fishes.pdf,Pillai,1968,Additions copepod parasites South Indian fishes,True
Williams.etal.1968.Observat Pseudani rotundata Rudolphi 1819 Mozgovoi 1950.pdf,Williams,1968,Observat Pseudani rotundata Rudolphi 1819 Mozgovoi 1950,True
Buteau.etal.1969.Lipid metabolism in helminth parasites IX. Fatty acid.pdf,Buteau,1969,Lipid metabolism in helminth parasites IX  Fatty acid,True
Heinicke.etal.1969.The magnesium potentiation of the oxytocic activity of.pdf,Heinicke,1969,The magnesium potentiation of the oxytocic activity of,True
Myrberg.etal.1969.Shark attraction using a video-acoustic system..pdf,Myrberg,1969,Shark attraction using a video-acoustic system,True
TânTuê.etal.1968.Capture de Mobula mobular Bonnaterre 1788 Pisces Mobulidae.pdf,TânTuê,1968,Capture de Mobula mobular Bonnaterre 1788 Pisces Mobulidae,True
Roy.etal.1969.Distribution of neurohypophyseal hormones in some.pdf,Roy,1969,Distribution of neurohypophyseal hormones in some,True
Smith.etal.1969.Liver lesions produced by hydatid-like cysts in an.pdf,Smith,1969,Liver lesions produced by hydatid-like cysts in an,True
Simmons.etal.1969.Composition of the amino acid pools of some cestodes of.pdf,Simmons,1969,Composition of the amino acid pools of some cestodes of,True
Eccles.etal.1970.Responses granule cells selachian cerebellum Mustelus canis.pdf,Eccles,1970,Responses granule cells selachian cerebellum Mustelus canis,True
Kearn.etal.1970.oncomira monocoty monogene Dictyoco coeliaca Calicotyle.pdf,Kearn,1970,oncomira monocoty monogene Dictyoco coeliaca Calicotyle,True
Mcvicar.etal.1970.Serum factors Raja radiata toxic Acanthob quadripa Cestoda.pdf,Mcvicar,1970,Serum factors Raja radiata toxic Acanthob quadripa Cestoda,True
Applegate.etal.1970.vertebrate fauna Selma Formation Alabama Part VIII fishes.pdf,Applegate,1970,vertebrate fauna Selma Formation Alabama Part VIII fishes,True
Olson.etal.1970.Plectogn hydrolagi sp n Trematoda Cephalop from Ratfish.pdf,Olson,1970,Plectogn hydrolagi sp n Trematoda Cephalop from Ratfish,True
Pappas.etal.1970.Trypanor Cestodes from Humboldt Bay Pacific Ocean Sharks.pdf,Pappas,1970,Trypanor Cestodes from Humboldt Bay Pacific Ocean Sharks,True
Cameron.etal.1971.Regulation ventilat ratio gills Dasyatis sabina Squalus.pdf,Cameron,1971,Regulation ventilat ratio gills Dasyatis sabina Squalus,True
"Arnold.etal.1972.Predation on the harbor porpoise, Phocoena phocoena by a.pdf",Arnold,1972,"Predation on the harbor porpoise, Phocoena phocoena by a",True
Ktari.etal.1972.Neonchoc pastinacae n g -n sp Monogene parasite de Dasyatis.pdf,Ktari,1972,Neonchoc pastinacae n g -n sp Monogene parasite de Dasyatis,True
Grover.etal.1972.Population differen swell shark Cephalos ventriosum.pdf,Grover,1972,Population differen swell shark Cephalos ventriosum,True
Mcvicar.etal.1972.The ultrastructure of the parasite-host interface of three.pdf,Mcvicar,1972,The ultrastructure of the parasite-host interface of three,True
Seshappa.etal.1972.note whale shark Rhineodon typus Smith Caught off Calicut.pdf,Seshappa,1972,note whale shark Rhineodon typus Smith Caught off Calicut,True
Simmons.etal.1972.Characterization and hybridization of DNAs of.pdf,Simmons,1972,Characterization and hybridization of DNAs of,True
"Simmons.etal.1972.A study of Gyrocotyle in the San Juan Archipelago, Puget.pdf",Simmons,1972,"A study of Gyrocotyle in the San Juan Archipelago, Puget",True
Beach.etal.1973.Incorporation of Docosahexaenoic Fatty Acid into the Lipids.pdf,Beach,1973,Incorporation of Docosahexaenoic Fatty Acid into the Lipids,True
Nair.etal.1973.occurrence deep sea sting ray Urotrygon daviesi Wallace.pdf,Nair,1973,occurrence deep sea sting ray Urotrygon daviesi Wallace,True
Schell.etal.1973.Rugogaster hydrolagi gen. et sp. n. (Trematoda.pdf,Schell,1973,Rugogaster hydrolagi gen  et sp  n  (Trematoda,True
Muntz.etal.1973.Yellow filters absorption light visual pigments some.pdf,Muntz,1973,Yellow filters absorption light visual pigments some,True
Witkovsky.etal.1973.Retinal structure in the smooth dogfish Mustelus canis.pdf,Witkovsky,1973,Retinal structure in the smooth dogfish Mustelus canis,True
"Boxshall.etal.1974.The validity of Acanthochondrites inflatus (Bainbridge,.pdf",Boxshall,1974,"The validity of Acanthochondrites inflatus (Bainbridge,",True
Boxshall.etal.1974.Infections with parasitic copepods North Sea marine fishes.pdf,Boxshall,1974,Infections with parasitic copepods North Sea marine fishes,True
Deetjen.etal.1974.The dissociation between renal HCO3 — Reabsorption and H+.pdf,Deetjen,1974,The dissociation between renal HCO3 — Reabsorption and H+,True
"Kabata.etal.1974.Lepeophtheirus cuneifer sp. nov. (Copepoda Caligidae), a.pdf",Kabata,1974,"Lepeophtheirus cuneifer sp  nov  (Copepoda Caligidae), a",True
Kearn.etal.1974.A comparative study of the glandular and excretory systems.pdf,Kearn,1974,A comparative study of the glandular and excretory systems,True
Euzet.etal.1974.Les Monogènes Hexaboth Price 1942 Historique systémat.pdf,Euzet,1974,Les Monogènes Hexaboth Price 1942 Historique systémat,True
Teshima.etal.1974.Studies on sharks. 1. Reproduction in the female sumitsuki.pdf,Teshima,1974,Studies on sharks  1  Reproduction in the female sumitsuki,True
Whittaker.etal.1974.Proteins of cholinergic synaptic vesicles from the electric.pdf,Whittaker,1974,Proteins of cholinergic synaptic vesicles from the electric,True
