openalex_author_id,display_name,last_name,year,literature_id,pdf_found,pdf_path,affiliation_extracted,geocode_success,geocode_display_name,note
https://openalex.org/A5034369496,Lola Toomey,Toomey,2025,34967,True,/media/simon/data/Documents/Si Work/Papers & Books/SharkPapers/2025/Toomey.etal.2025.Unveiling the biochemical and haematological profile of blue.pdf,"Department of Life and Environmental Sciences, University of Cagliari, via T. Fiorelli 1, 09126, Cagliari, Italy, Department of Integrated Marine Ecology, Calabria Marine Center, Stazione Zoologica Anton Dohrn (SZN), C.da Torre Spaccata, Località Torre, Spaccata, 87071 Amendolara, Italy",True,"87071, Amendolara, Cosenza, Calabria, Italia",ok
https://openalex.org/A5001481632,Alyvia Martinez,Martinez,2025,34503,True,/media/simon/data/Documents/Si Work/Papers & Books/SharkPapers/2025/Martinez.etal.2025.The effects of anthropogenic sound on embryonic little.pdf,,False,,affiliation not found in header
https://openalex.org/A5088059710,Larisa G. Poddubnaya,Poddubnaya,2025,35007,False,,,False,,no PDF found
https://openalex.org/A5021311125,Gregory B. Deets,Deets,2025,34815,True,/media/simon/data/Documents/Si Work/Papers & Books/SharkPapers/2025/Deets.etal.2025.A Systematic Revision of Kroyeria (Copepoda.pdf,goal of maximizing access to critical research.,False,,geocode failed
https://openalex.org/A5050922807,Jorge A. Valerio‐Vargas,Valerio‐Vargas,2025,34797,False,,,False,,no PDF found
https://openalex.org/A5050630418,Han Tian,Tian,2025,34727,True,/media/simon/data/Documents/Si Work/Papers & Books/SharkPapers/2025/Tian.2025.Predating Behavior of the Pacific Sleeper Shark in the Deep.pdf,"School of Marine Sciences, Sun Yat-sen University, and Southern Marine Science and Engineering, Guangdong Laboratory (Zhuhai), Zhuhai 519082, China.",True,"珠海市, 广东省, 中国",ok
https://openalex.org/A5064512826,Neuciane Dias Barbosa,Barbosa,2025,34679,True,/media/simon/data/Documents/Si Work/Papers & Books/SharkPapers/2025/Barbosa.etal.2025.Ecotoxic Potamotr freshwater stingrays bioaccum toxicolo.pdf,,False,,affiliation not found in header
https://openalex.org/A5068910144,César Peñaherrera‐Palma,Peñaherrera‐Palma,2025,34667,False,,,False,,no PDF found
https://openalex.org/A5032735013,Darren A. Whitehead,Whitehead,2025,34666,True,/media/simon/data/Documents/Si Work/Papers & Books/SharkPapers/2025/Whitehead.etal.2025.The Phenomenon of Piebaldism in Sharks A Review of Global.pdf,"Shark Research Mexico A.C, La Paz, Mexico",True,"La Paz, Municipio de La Paz, Baja California Sur, 23020, México",ok
https://openalex.org/A5014212843,Steven L. Wick,Wick,2025,34567,False,,,False,,no PDF found
