ArticleTitle,ArticleAuthor,ArticleDate,JournalTitle,JournalVolume,JournalIssue,JournalPages,DOI,Notes
A Global Synthesis of Population Demographic Models in Sharks and Rays.,"Mejía, D. & Robalino-Mejía, C. & Galván-Magaña, F. & Hernández-Herrera, A. & Jakes-Cota, U. & Villal",2025,A Global Synthesis of Population Demographic Models in Sharks and Rays. Fish and Fisheries,26.0,4.0,,10.1111/faf.12900,Shark research literature review - Priority 1 batch
A Long-Term Overview of Elasmobranch Fisheries in an Oceanic Archipelago: A Case Study of the Madeira Archipelago.,"Freitas, M. & Pinho-Duarte, F. & Gaspar, M. & Ideia, P. & Delgado, J. & Cerqueira, S.C. & Sousa, R. ",2025,A Long-Term Overview of Elasmobranch Fisheries in an Oceanic Archipelago: A Case Study of the Madeira Archipelago. Fishes,10.0,7.0,,10.3390/fishes10070358,Shark research literature review - Priority 1 batch
A Nanoscale View of the Structure and Deformation Mechanism of Mineralized Shark Vertebral Cartilage.,"Somu, D.R. & Soini, S.A. & Briggs, A. & Singh, K. & Greving, I. & Porter, M. & Passerotti, M. & Merk",2025,A Nanoscale View of the Structure and Deformation Mechanism of Mineralized Shark Vertebral Cartilage. ACS Nano,19.0,14.0,,10.1021/acsnano.5c02004,Shark research literature review - Priority 1 batch
A New Research Tool for Use in Sharks and Rays: Relevance of Reproductive Hormone Levels in the Skin of Small-Spotted Catshark (Scyliorhinus canicula).,"Carbajal, A. & Lobato, I.G. & Agustí, C. & Muñoz-Baquero, M. & Serres-Corral, P. & López-Béjar, M. (",2025,A New Research Tool for Use in Sharks and Rays: Relevance of Reproductive Hormone Levels in the Skin of Small-Spotted Catshark (Scyliorhinus canicula). Animals,15.0,5.0,,10.3390/ani15050762,Shark research literature review - Priority 1 batch
"A Parasite through time: Revisiting Trypanosoma rajae Laveran & Mesnil, 1902 with new molecular and morphological insights from the blood of Rajidae in the Western Mediterranean.","Kefil, S. & Duval, L. & Labat, A. & Bouguerche, C. & Kechemir-Issad, N. (2025)",2025,A Parasite through time: Revisiting Trypanosoma rajae Laveran & Mesnil,,,,10.1016/j.ijppaw.2025.101097,Shark research literature review - Priority 1 batch
"A Review of the Status of Sharks, Rays and Chimaeras of Panama to Guide Research and Conservation.","Morales-Saldaña, J.M. & Guzmán, H.M. & Vega, A.J. & Robles, Y.A. & Montes, L.A. & Kyne, P.M. (2025)",2025,"A Review of the Status of Sharks, Rays and Chimaeras of Panama to Guide Research and Conservation. Aquatic Conservation-Marine and Freshwater Ecosystems",35.0,4.0,,10.1002/aqc.70122,Shark research literature review - Priority 1 batch
"A Systematic Revision of Kroyeria (Copepoda: Siphonostomatoida): Five New Species, 11 Redescriptions, and a Morphological Phylogenetic Analysis of the Genus.","Deets, G.B. & Boxshall, G.A. & Bernot, J.P. (2025)",2025,A Systematic Revision of Kroyeria (Copepoda: Siphonostomatoida): Five New Species,111.0,3.0,,10.1645/24-115,Shark research literature review - Priority 1 batch
A classification system for wounds and scars observed on white sharks (Carcharodon carcharias).,"Anderson, S.D. & Kanive, P.E. & Chapple, T.K. & Andrzejaczek, S. & Block, B.A. & Jorgensen, S.J. (20",2025,A classification system for wounds and scars observed on white sharks (Carcharodon carcharias). Frontiers In Marine Science,,,,10.3389/fmars.2025.1520348,Shark research literature review - Priority 1 batch
"A deep dive into the venom apparatus of the freshwater stingray: an integrated investigation of biochemical, morphological, and pathophysiological parameters.","Castanhola-Dias, L. & Lameiras, J. & Coelho, G. & Zychar, B.C. & Dale, C. & Oliveira, V.R.D. & Cury,",2025,"A deep dive into the venom apparatus of the freshwater stingray: an integrated investigation of biochemical, morphological, and pathophysiological parameters. Toxin Reviews",44.0,2.0,,10.1080/15569543.2025.2461000,Shark research literature review - Priority 1 batch
"A diverse Campanian biota from the Bozeș Formation (Petrești, Romania): Insights into the paleontology and paleoecology of a transitional sequence.","Trif, N. & Pirnea, R. & Čerňanský, A. & Schwarzhans, W. & Bălc, R. & Jain, S. & Kaim, A. & Bakayeva,",2025,"A diverse Campanian biota from the Bozeș Formation (Petrești, Romania): Insights into the paleontology and paleoecology of a transitional sequence. Palaeontologia Electronica",28.0,2.0,,10.26879/1536,Shark research literature review - Priority 1 batch
"A fisher's perspective: Using half a century of local fisher knowledge to identify socio-economic, ecological and legislative trends influencing angelshark (Squatina squatina) records in Wales.","Mason, F.C. & Davies, J. & Patel, S. & Wray, B. & Bartlett, C. & Davies, M. & Sharp, R. & Worrall, C",2025,"A fisher's perspective: Using half a century of local fisher knowledge to identify socio-economic, ecological and legislative trends influencing angelshark (Squatina squatina) records in Wales. People and Nature",7.0,7.0,,10.1002/pan3.70044,Shark research literature review - Priority 1 batch
