ArticleTitle,ArticleAuthor,ArticleDate,JournalTitle,JournalVolume,JournalIssue,JournalPages,DOI,Notes
"""Urbanite"" rays and sharks: Presence, habitat use and population structure in an urban semi-enclosed lagoon.","Tuya, F. & Asensio, M. & Navarro, A. (2020)",2020,"""Urbanite"" rays and sharks: Presence, habitat use and population structure in an urban semi-enclosed lagoon. Regional Studies in Marine Science",,,,10.1016/j.rsma.2020.101342,Batch 3: Papers from 2018-2020
3D microstructural study of selachimorph enameloid evolution.,"Fellah, C. & Douillard, T. & Maire, E. & Meille, S. & Reynard, B. & Cuny, G. (2020)",2020,3D microstructural study of selachimorph enameloid evolution. Journal of Structural Biology,213.0,1.0,107664,10.1016/j.jsb.2020.107664,Batch 3: Papers from 2018-2020
A Blacktip Reef Shark Bite to the Hand in the Remote Solomon Islands.,"Popa, D. & Beach, N. & Sadler, C. (2020)",2020,A Blacktip Reef Shark Bite to the Hand in the Remote Solomon Islands. Journal of Emergency Medicine,59.0,6.0,,10.1016/j.jemermed.2020.09.009,Batch 3: Papers from 2018-2020
A Global Review of Vessel Collisions With Marine Animals.,"Schoeman, R.P. & Patterson-Abrolat, C. & Plön, S. (2020)",2020,A Global Review of Vessel Collisions With Marine Animals. Frontiers in Marine Science,,,,10.3389/fmars.2020.00292,Batch 3: Papers from 2018-2020
"A Late Jurassic (Kimmeridgian–early Tithonian) fish fauna of the Eperkés-hegy (Olaszfalu, Bakony Mts., Hungary): the oldest record of Notidanodon Cappetta, 1975 and a short revision of Mesozoic Hexanchidae.","Szabó, M. (2020)",2020,"A Late Jurassic (Kimmeridgian–early Tithonian) fish fauna of the Eperkés-hegy (Olaszfalu, Bakony Mts., Hungary): the oldest record of Notidanodon Cappetta",100.0,1.0,,10.1007/s12549-018-00368-x,Batch 3: Papers from 2018-2020
A Lower Cretaceous chondrichthyan dermal denticle assemblage and its bearing on placoid scale diversity and histology.,"Feichtinger, I. & Lukeneder, A. & Guinot, G. (2020)",2020,A Lower Cretaceous chondrichthyan dermal denticle assemblage and its bearing on placoid scale diversity and histology. Cretaceous Research,,,,10.1016/j.cretres.2020.104444,Batch 3: Papers from 2018-2020
"A Morphological Description and the Biology of Poorly Known Deep-Sea Skates of the Genus Bathyraja Ishiyama, 1958 (Rajidae) from the Northwestern Pacific Ocean.","Dolganov, V.N. (2020)",2020,A Morphological Description and the Biology of Poorly Known Deep-Sea Skates of the Genus Bathyraja Ishiyama,46.0,2.0,,10.1134/S1063074020020030,Batch 3: Papers from 2018-2020
"A New Addition to the Devonian Elasmobranch Fauna of Michigan, U.S.A.","Swinehart, A.L. & Hoenig, M.M.J. & Ginter, M. (2020)",2020,"A New Addition to the Devonian Elasmobranch Fauna of Michigan, U.S.A. American Midland Naturalist",184.0,1.0,109-115,10.1637/0003-0031-184.1.109,Batch 3: Papers from 2018-2020
"A New Genus of Chimaerid Fish (Holocephali, Chimaeridae) from the Upper Oligocene Sooke Formation of British Columbia, Canada.","Popov, E.V. & Johns, M.J. & Suntok, S. (2020)",2020,"A New Genus of Chimaerid Fish (Holocephali, Chimaeridae) from the Upper Oligocene Sooke Formation of British Columbia, Canada. Journal of Vertebrate Paleontology",40.0,1.0,,10.1080/02724634.2020.1772275,Batch 3: Papers from 2018-2020
"A New Genus of Late Cretaceous Angel Shark (Elasmobranchii; Squatinidae), with Comments on Squatinid Phylogeny.","Maisey, J.G. & Ehret, D.J. & Denton, J.S.S. (2020)",2020,"A New Genus of Late Cretaceous Angel Shark (Elasmobranchii; Squatinidae), with Comments on Squatinid Phylogeny. American Museum Novitates",,,,10.1206/3954.1,Batch 3: Papers from 2018-2020
"A New Onchoproteocephalidean Cestode Species from the Spot-Tail Shark, Carcharhinus sorrah (Müller et Henle), in the Persian Gulf.","Ganjgah, N.M. & Haseli, M. (2020)",2020,"A New Onchoproteocephalidean Cestode Species from the Spot-Tail Shark, Carcharhinus sorrah (Müller et Henle), in the Persian Gulf. Acta Parasitologica",65.0,2.0,,10.2478/s11686-020-00187-1,Batch 3: Papers from 2018-2020
"A New Species of Acanthobothrium (Cestoda: Onchoproteocephalidea) from the Smalleye Pygmy Shark, Squaliolus aliae (Chondrichthyes: Squaliformes: Dalatiidae), from Taiwan.","Gallagher, K.A. & Caira, J.N. (2020)",2020,"A New Species of Acanthobothrium (Cestoda: Onchoproteocephalidea) from the Smalleye Pygmy Shark, Squaliolus aliae (Chondrichthyes: Squaliformes: Dalatiidae), from Taiwan. Journal of Parasitology",106.0,6.0,,10.1645/20-15,Batch 3: Papers from 2018-2020
